主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
交通,全国跨区域人员流动量(8天),22.04,亿人次,全国总量,2023-09-29至2023-10-06,8天,交通运输部跨区域口径,交通运输-人员流动,官方总量,实际,无,8,水平值,2023-10-20,,交通运输部,新华社/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIBaAkBJY1j2L6nKgMZIqK231007.shtml,含营业性客运+高速/国省道非营业性小客车；与营业性客运4.58亿分列不可相加
交通,全国高速公路流量,4.83,亿辆次,全国总量,2023-09-29至2023-10-06,8天,交通运输部口径,交通运输-人员流动,官方总量,实际,无,8,水平值,2023-10-20,,交通运输部,新华社/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIBaAkBJY1j2L6nKgMZIqK231007.shtml,日均6043万辆次；单日最高流量创新高
交通,公路发送旅客,2.9,亿人次,全国总量,2023-09-29至2023-10-06,8天,交通运输部营业性口径,交通运输-客运,官方总量,实际,较2022,8,水平值,2023-10-20,,交通运输部,新华社/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIBaAkBJY1j2L6nKgMZIqK231007.shtml,日均3623.2万；较2022+28.1%
交通,国铁集团铁路发送旅客(12天黄金周运输9.27-10.8),1.95,亿人次,全国总量,2023-09-27至2023-10-08,12天,国铁集团12天运输口径,交通运输-客运,官方总量,实际,无,12,水平值,2023-10-20,口径差异,国铁集团,铁路国庆黄金周运输圆满收官,2023-10-12,A,http://www.china-railway.com.cn/xwzx/ywsl/202310/t20231012_130790.html,12天窗口(9.27-10.8)与8天窗口1.41亿口径不同，分列不可相加；9.29单日2009.8万创历史新高
交通,民航发送旅客(8天),1708.5,万人次,全国总量,2023-09-29至2023-10-06,8天,交通运输部/民航局口径,交通运输-客运,官方总量,实际,较2022,8,水平值,2023-10-20,,交通运输部/民航局,新华社/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIBaAkBJY1j2L6nKgMZIqK231007.shtml,日均213.6万；较2022+195.0%
交通,民航较2019国庆日均增长,12.6,%,%增长,2023-09-29至2023-10-06,8天,民航局口径,交通运输-客运,官方总量,实际,较2019,8,水平值,2023-10-20,,民航局,假日消费火爆/中新经纬,2023-10-08,A,https://www.jwview.com/jingwei/10-08/560969.shtml,较2022+194.9%
交通,水路发送旅客,1018.1,万人次,全国总量,2023-09-29至2023-10-06,8天,交通运输部营业性口径,交通运输-客运,官方总量,实际,较2022,8,水平值,2023-10-20,,交通运输部,新华社/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIBaAkBJY1j2L6nKgMZIqK231007.shtml,日均127.3万；较2022+106.1%
交通,营业性旅客运输总量,4.58,亿人次,全国总量,2023-09-29至2023-10-06,8天,交通运输部营业性口径,交通运输-客运,官方总量,实际,较2022,8,水平值,2023-10-20,,交通运输部,新华社/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIBaAkBJY1j2L6nKgMZIqK231007.shtml,日均5727.7万；较2022+57.1%
交通,铁路9月29日单日发送旅客(历史新高),2009.8,万人次,全国总量,2023-09-29,单日,国铁集团口径,交通运输-客运,官方总量,实际,无,8,水平值,2023-10-20,,国铁集团,铁路国庆黄金周运输圆满收官,2023-10-12,A,http://www.china-railway.com.cn/xwzx/ywsl/202310/t20231012_130790.html,历史上首次突破2000万人次
交通,铁路发送旅客(8天交通运输部口径),1.41,亿人次,全国总量,2023-09-29至2023-10-06,8天,交通运输部营业性口径,交通运输-客运,官方总量,实际,较2022,8,水平值,2023-10-20,,交通运输部,新华社/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIBaAkBJY1j2L6nKgMZIqK231007.shtml,日均1763.6万；较2022+158%；与国铁12天1.95亿口径不同，分列
平台,同程博物馆旅游热度环比,400,%,%增长,2023-09-29至2023-10-06,8天,同程平台口径,平台订单,平台自披露,实际,环比,8,水平值,2023-10-20,,同程旅行,中国网旅游,2023-10-07,C,https://travel.china.com.cn/txt/2023-10/07/content_116728198.shtml,环比+4倍；平台自身口径
平台,携程出境游订单同比增长,800,%,%增长,2023-09-29至2023-10-06,8天,携程平台口径,平台订单,平台自披露,实际,同比,8,水平值,2023-10-20,,携程,中秋国庆旅游总结报告,2023-10-06,C,https://www.toutiao.com/article/7286831525214323215/,超8倍；平台自身口径
平台,携程国内旅游订单同比增长,近200,%,%增长,2023-09-29至2023-10-06,8天,携程平台口径,平台订单,平台自披露,实际,同比,8,水平值,2023-10-20,,携程,中秋国庆旅游总结报告,2023-10-06,C,https://www.ourjiangsu.com/a/20231007/1696684029926.shtml,近2倍；平台自身口径非全市场
平台,携程跨省游订单占比/同比增长,51/200,%/%,复合,2023-09-29至2023-10-06,8天,携程平台口径,平台订单,平台自披露,实际,同比,8,复合值,2023-10-20,,携程,21世纪经济报道,2023-10-06,C,https://www.toutiao.com/article/7286831525214323215/,占比51%；同比+2倍多；平台自身口径
平台,飞猪出境游产品预订量同比增长,2000,%,%增长,2023-09-29至2023-10-06,8天,飞猪平台口径,平台订单,平台自披露,实际,同比,8,水平值,2023-10-20,,飞猪,国庆节假期出游风向标,2023-09-13,C,https://jingji.cctv.cn/2023/09/27/ARTIgoVDGX50S1NM0TeKRJMb230927.shtml,超20倍；平台自身口径
平台,飞猪国内游产品预订量同比增长,近600,%,%增长,2023-09-29至2023-10-06,8天,飞猪平台口径,平台订单,平台自披露,实际,同比,8,水平值,2023-10-20,,飞猪,国庆节假期出游风向标,2023-09-13,C,https://jingji.cctv.cn/2023/09/27/ARTIgoVDGX50S1NM0TeKRJMb230927.shtml,近6倍；平台自身口径
平台,飞猪国内租车预订量较2019,460,%,%增长,2023-09-29至2023-10-06,8天,飞猪平台口径,平台订单,平台自披露,实际,较2019,8,水平值,2023-10-20,,飞猪,21世纪经济报道,2023-10-06,C,https://www.toutiao.com/article/7286831525214323215/,超4.6倍；平台自身口径
总体,243个国家级夜间文旅消费集聚区夜间客流量,1.12,亿人次,全国总量,2023-09-28至2023-10-06(夜间),8天,中国联通监测口径,旅游总花费,官方总量,实际,较2022,8,水平值,2023-10-20,,中国联通(中国政府网转引),中国政府网/文旅部,2023-10-06,A,https://www.gov.cn/lianbo/bumen/202310/content_6907586.htm,每夜5.76万；较2022国庆+68.7%
总体,人均旅游消费支出(测算=7534.3亿/8.26亿),912,元,人均trip,2023-09-29至2023-10-06,8天,媒体测算口径,旅游总花费,媒体测算,推算,较2019,8,水平值,2023-10-20,,媒体测算(中新经纬),假日消费报道,2023-10-08,D,https://www.jwview.com/jingwei/10-08/560969.shtml,测算值；较2019国庆831元+近10%；与实测分列
总体,出游人数较2019增幅(可比口径),4.1,%,%增长,2023-09-29至2023-10-06,8天,文旅部8天口径,旅游总花费,官方总量,实际,较2019,8,水平值,2023-10-20,,文化和旅游部,假期文化和旅游市场情况,2023-10-06,A,https://www.mct.gov.cn/whzx/whyw/202310/t20231006_947726.htm,
总体,国内旅游出游人数,8.26,亿人次,全国总量,2023-09-29至2023-10-06,8天,文旅部8天口径,旅游总花费,官方总量,实际,较2019,8,水平值,2023-10-20,,文化和旅游部,假期文化和旅游市场情况,2023-10-06,A,https://www.mct.gov.cn/whzx/whyw/202310/t20231006_947726.htm,同比+71.3%/较2019+4.1%
总体,国内旅游收入,7534.3,亿元,全国总量,2023-09-29至2023-10-06,8天,文旅部8天口径,旅游总花费,官方总量,实际,较2019,8,水平值,2023-10-20,,文化和旅游部,假期文化和旅游市场情况,2023-10-06,A,https://www.mct.gov.cn/whzx/whyw/202310/t20231006_947726.htm,同比+129.5%/较2019+1.5%
总体,旅游收入较2019增幅(可比口径),1.5,%,%增长,2023-09-29至2023-10-06,8天,文旅部8天口径,旅游总花费,官方总量,实际,较2019,8,水平值,2023-10-20,,文化和旅游部,假期文化和旅游市场情况,2023-10-06,A,https://www.mct.gov.cn/whzx/whyw/202310/t20231006_947726.htm,
政策宏观,36个大中城市重点商圈客流量同比,164,%,%增长,2023-09-29至2023-10-06,8天,商务部口径,社零消费,官方总量,实际,同比,8,水平值,2023-10-20,,商务部,央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIpXfWQ6ppmNovwC5lOXsG231007.shtml,
政策宏观,全国示范步行街客流量同比,94.7,%,%增长,2023-09-29至2023-10-06,8天,商务部口径,社零消费,官方总量,实际,同比,8,水平值,2023-10-20,,商务部,央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIpXfWQ6ppmNovwC5lOXsG231007.shtml,
政策宏观,商务部假期前7天重点监测零售餐饮销售额同比,9,%,%增长,2023-09-29至2023-10-05,7天(前7天),商务部重点监测口径,社零消费,官方总量,实际,同比,8,水平值,2023-10-20,,商务部,央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIpXfWQ6ppmNovwC5lOXsG231007.shtml,属社零口径，不可与旅游总花费相加
政策宏观,国办释放旅游消费潜力措施条数,30,条,水平(计数),2023-09-29,8天,国办口径,政策宏观,官方总量,实际,无,8,水平值,2023-10-20,,国务院办公厅,关于释放旅游消费潜力推动旅游业高质量发展的若干措施,2023-09-29,A,https://www.jwview.com/jingwei/10-08/560969.shtml,五大方面30条
景区目的地,上海线上线下消费支付金额,760,亿元,全国总量,2023-09-29至2023-10-06,8天,上海商务委口径,社零消费,官方总量,实际,无,8,水平值,2023-10-20,,上海市商务委员会,商务部促消费/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIpXfWQ6ppmNovwC5lOXsG231007.shtml,线下449.2亿/线上313.9亿；属社零口径，不可与旅游总花费相加
景区目的地,内蒙古接待国内游客,2306.01,万人次,全国总量,2023-09-29至2023-10-06,8天,内蒙古文旅厅口径,城市消费,官方总量,实际,较2019,8,水平值,2023-10-20,,内蒙古自治区文化和旅游厅,多地晒长假成绩单(中新网),2023-10-08,A,https://m.chinanews.com/wap/detail/cht/zw/10090478.shtml,较2019 1.35倍
景区目的地,内蒙古旅游收入,158.48,亿元,全国总量,2023-09-29至2023-10-06,8天,内蒙古文旅厅口径,城市消费,官方总量,实际,较2019,8,水平值,2023-10-20,,内蒙古自治区文化和旅游厅,多地晒长假成绩单(中新网),2023-10-08,A,https://m.chinanews.com/wap/detail/cht/zw/10090478.shtml,较2019 1.18倍
景区目的地,北京市属公园及园林博物馆游客量,459.12,万人次,全国总量,2023-09-29至2023-10-06,8天,北京公园管理中心口径,城市消费,官方总量,实际,无,8,水平值,2023-10-20,,北京市公园管理中心,商务部促消费/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIpXfWQ6ppmNovwC5lOXsG231007.shtml,前三:颐和园101.27万/天坛95.55万/动物园55.91万
景区目的地,北京接待游客,1187.9,万人次,全国总量,2023-09-29至2023-10-06,8天,北京文旅局口径,城市消费,官方总量,实际,同比,8,水平值,2023-10-20,,北京市文化和旅游局,商务部促消费/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIpXfWQ6ppmNovwC5lOXsG231007.shtml,同比+48.9%
景区目的地,北京旅游总收入,155.7,亿元,全国总量,2023-09-29至2023-10-06,8天,北京文旅局口径,城市消费,官方总量,实际,同比,8,水平值,2023-10-20,,北京市文化和旅游局,商务部促消费/央视网,2023-10-07,A,https://news.cctv.com/2023/10/07/ARTIpXfWQ6ppmNovwC5lOXsG231007.shtml,同比+108.2%
