主题,数据点,数值,单位,来源机构,报告/资料名,发布时间,可信度等级,URL,备注,假期天数,口径类型,基期,统计窗口,数值类型,采集日期,缺口标记
总体,五一5天全国国内旅游出游人次,2.95,亿人次,文化和旅游部,"2024年""五一""假期文化和旅游市场情况",2024-05-06,A,https://www.mct.gov.cn/gtb/index.jsp?url=http%3A%2F%2Fwww.mct.gov.cn%2Fwlbphone%2Fwlbydd%2Fxxfb%2Fjiaodianxinwen%2F202405%2Ft20240506_952682.html,同比+7.6%，较2019+28.2%,5,官方总量,较2019,5天,增长率,2024-05-10,
总体,五一5天国内游客出游总花费,1668.9,亿元,文化和旅游部,"2024年""五一""假期文化和旅游市场情况",2024-05-06,A,https://www.mct.gov.cn/gtb/index.jsp?url=http%3A%2F%2Fwww.mct.gov.cn%2Fwlbphone%2Fwlbydd%2Fxxfb%2Fjiaodianxinwen%2F202405%2Ft20240506_952682.html,同比+12.7%，较2019+13.5%,5,官方总量,较2019,5天,增长率,2024-05-10,
总体,五一假期入出境游客,367.2,万人次,文化和旅游部,"2024年""五一""假期文化和旅游市场情况",2024-05-06,A,https://www.mct.gov.cn/gtb/index.jsp?url=http%3A%2F%2Fwww.mct.gov.cn%2Fwlbphone%2Fwlbydd%2Fxxfb%2Fjiaodianxinwen%2F202405%2Ft20240506_952682.html,入境177.5万/出境189.7万,5,官方总量,无(水平值),5天,水平值,2024-05-10,
总体,国家级夜间文旅消费集聚区夜间客流量,7257.58,万人次,文化和旅游部,"2024年""五一""假期文化和旅游市场情况",2024-05-06,A,https://www.mct.gov.cn/gtb/index.jsp?url=http%3A%2F%2Fwww.mct.gov.cn%2Fwlbphone%2Fwlbydd%2Fxxfb%2Fjiaodianxinwen%2F202405%2Ft20240506_952682.html,较2023同期+6.9%,5,官方总量,较2023,5天,增长率,2024-05-10,
总体,人均旅游消费（测算）,565.7,元,测算（总花费/出游人次，HospitalityNet引文旅部）,人均消费恢复至2019约88.5%,2024-05,D,https://www.hospitalitynet.org/news/4122082.html,测算值=1668.9亿/2.95亿,5,测算,无(水平值),5天,水平值,2024-05-10,
游客画像,国内长途旅游订单占比,50+,%,去哪儿（证券日报转引）,五一假期多地迎客流高峰,2024-05-07,C,https://www.ce.cn/culture/gd/202405/07/t20240507_38993489.shtml,中长线成主角，占比超一半,5,平台自披露,无(水平值),5天,水平值,2024-05-10,
景区,北京接待游客,1696.6,万人次,北京市文旅局（证券日报转引）,五一假期多地迎客流高峰,2024-05-07,B,https://www.ce.cn/culture/gd/202405/07/t20240507_38993489.shtml,同比+9.4%，旅游收入196.2亿+10.2%,5,官方总量,同比,5天,增长率,2024-05-10,
景区,上海接待游客,1623.94,万人次,上海市文化和旅游局（证券日报转引）,五一假期多地迎客流高峰,2024-05-07,B,https://www.ce.cn/culture/gd/202405/07/t20240507_38993489.shtml,同比+3.77%,5,官方总量,同比,5天,增长率,2024-05-10,
景区,湖北A级景区接待游客,1424.76,万人次,湖北省文旅厅（证券日报转引）,五一假期多地迎客流高峰,2024-05-07,B,https://www.ce.cn/culture/gd/202405/07/t20240507_38993489.shtml,较2023+13.53%，较2019+25.93%,5,待核,较2019,5天,增长率,2024-05-10,
景区,黄山接待游客,13,万人次,黄山景区（证券日报转引）,五一假期多地迎客流高峰,2024-05-07,C,https://www.ce.cn/culture/gd/202405/07/t20240507_38993489.shtml,同比+9.7%,5,待核,同比,5天,增长率,2024-05-10,
景区,九寨沟接待游客,109438,人次,九寨沟景区（证券日报转引）,五一假期多地迎客流高峰,2024-05-07,C,https://www.ce.cn/culture/gd/202405/07/t20240507_38993489.shtml,同比+24.45%,5,待核,同比,5天,增长率,2024-05-10,
景区,国内主要博物馆门票订单同比,10+,%,携程,"2024""五一""假期旅行总结（经济日报转引）",2024-05-06,C,https://www.163.com/dy/article/J1GDLE6Q0519AKBM.html,博物馆游学/非遗活动热,5,平台自披露,同比,5天,水平值,2024-05-10,
酒店,五一假期酒店平均Occ（旅智科技口径）,55,%,旅智科技,2024五一中国住宿业经营报告,2024-05-10,C,https://hub.traveldaily.cn/report/451,ADR293.9元/RevPAR161.6元，RevPAR同比+2.0%,5,平台自披露,同比,5天,增长率,2024-05-10,
酒店,五一假期酒店平均ADR（旅智科技口径）,293.9,元,旅智科技,2024五一中国住宿业经营报告,2024-05-10,C,https://hub.traveldaily.cn/report/451,,5,平台自披露,无(水平值),5天,水平值,2024-05-10,
酒店,五一假期酒店平均RevPAR（旅智科技口径）,161.6,元,旅智科技,2024五一中国住宿业经营报告,2024-05-10,C,https://hub.traveldaily.cn/report/451,,5,平台自披露,无(水平值),5天,水平值,2024-05-10,
酒店,五一假期酒店平均Occ（酒店之家口径）,64.20,%,酒店之家（新浪财经转引）,酒店集团2023年年报盘点,2024-05-07,C,https://finance.sina.com.cn/jjxw/2024-05-07/doc-inaumrzv1313896.shtml,双口径：与旅智科技不同，ADR259.05/RevPAR165.91，RevPAR同比-18.8%,5,平台自披露,同比,5天,增长率,2024-05-10,
酒店,民宿平均Occ/ADR/RevPAR,64.1/414.1/265.4,%,旅智科技,2024五一中国住宿业经营报告,2024-05-10,C,https://hub.traveldaily.cn/report/451,RevPAR同比-19.1%,5,平台自披露,同比,5天,复合值,2024-05-10,
酒店,锦江(中国区)高峰期平均入住率,97,%,锦江酒店（中国区）（荆楚网转引）,五一出游热带动酒店预订升温,2024-05-09,C,https://m.cnhubei.com/content/2024-05/09/content_17862965.html,陕西/山西/四川/重庆；三线及以下入住率超大盘,5,待核,无(水平值),5天,水平值,2024-05-10,
交通,五一全社会跨区域人员流动量,135846.27,万人次,交通运输部（新华社/政府网转引）,五一假期跨区域人员流动量,2024-05-06,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/lianbo/bumen/202405/content_6949380.htm,日均27169.3万，同比+2.1%，较2019+23.7%,5,官方跨区域(含自驾),较2019,5天,增长率,2024-05-10,
交通,五一铁路客运量,9176.5,万人次,交通运输部,五一假期跨区域人员流动量,2024-05-06,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/lianbo/bumen/202405/content_6949380.htm,日均1835.3万，同比+1.4%，较2019+23.3%,5,官方跨区域(含自驾),较2019,5天,增长率,2024-05-10,
交通,五一民航客运量,997.1,万人次,交通运输部,五一假期跨区域人员流动量,2024-05-06,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/lianbo/bumen/202405/content_6949380.htm,日均199.4万，同比+8.1%，较2019+11.1%,5,官方跨区域(含自驾),较2019,5天,增长率,2024-05-10,
交通,五一公路跨区域人员流动量,124977,万人次,交通运输部,五一假期跨区域人员流动量,2024-05-06,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/lianbo/bumen/202405/content_6949380.htm,日均24995.4万，同比+2.1%,5,官方跨区域(含自驾),同比,5天,增长率,2024-05-10,
交通,五一水路客运量,695.67,万人次,交通运输部,五一假期跨区域人员流动量,2024-05-06,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/lianbo/bumen/202405/content_6949380.htm,日均139.1万，同比+6.0%,5,官方跨区域(含自驾),同比,5天,增长率,2024-05-10,
交通,5月1日铁路单日发送旅客,2069.3,万人次,交通运输部（人民日报转引）,假日出行展现经济澎湃动能,2024-05-07,A,https://www.news.cn/politics/20240507/f7e6bef1ae9744caa51e16b6cfa87845/c.html,创单日旅客发送量历史新高,5,官方跨区域(含自驾),无(水平值),5天,水平值,2024-05-10,
政策宏观,全国重点零售和餐饮企业销售额同比,6.8,%,商务部,五一假期消费市场监测,2024-05-06,A,https://www.gov.cn/lianbo/bumen/202405/content_6949425.htm,对比2023年4/29-5/3,5,官方总量,同比,5天,水平值,2024-05-10,
政策宏观,36个大中城市重点商圈客流量同比,15.1,%,商务部,五一假期消费市场监测,2024-05-06,A,https://www.gov.cn/lianbo/bumen/202405/content_6949425.htm,,5,官方总量,同比,5天,水平值,2024-05-10,
政策宏观,全国实物商品网上零售额同比,15.8,%,商务部,五一假期消费市场监测,2024-05-06,A,https://www.gov.cn/lianbo/bumen/202405/content_6949425.htm,,5,官方总量,同比,5天,水平值,2024-05-10,
政策宏观,重点监测餐饮企业销售额同比,7.1,%,商务部,五一假期消费市场监测,2024-05-06,A,https://www.gov.cn/lianbo/bumen/202405/content_6949425.htm,电商平台住宿+6%,5,官方重点监测,同比,5天,水平值,2024-05-10,
政策宏观,重点监测零售企业汽车/家电/家具销售额同比,4.8/7.9/4.6,%,商务部,五一假期消费市场监测,2024-05-06,A,https://www.gov.cn/lianbo/bumen/202405/content_6949425.htm,以旧换新带动,5,官方重点监测,同比,5天,复合值,2024-05-10,
政策宏观,五一档电影票房,15.27,亿元,国家电影局（人民日报/商务部转引）,五一假期消费市场,2024-05,A,https://www.gov.cn/lianbo/bumen/202405/content_6949425.htm,超去年同期,5,官方总量,无(水平值),5天,水平值,2024-05-10,
平台,飞猪人均预订量/人均消费金额同比,12/19,%,飞猪,"2024""五一""假期出游快报（凤凰网转引）",2024-05-05,C,https://i.ifeng.com/c/8ZN3TpqPtzn,高星酒店预订+约20%,5,平台自披露,同比,5天,复合值,2024-05-10,
平台,入境游订单同比,105,%,携程（中宏网转引）,五一假期出入境游分析,2024-05-05,C,https://www.zhonghongwang.com/show-94-330432-1.html,免签12国+新马累计入境+约2.5倍,5,平台自披露,累计(窗口内),5天,增长率,2024-05-10,
平台,美团本地生活服务消费/餐饮堂食同比,25/73,%,美团（中宏网转引）,五一假期消费观察,2024-05-05,C,https://www.zhonghongwang.com/show-94-330432-1.html,5.1-5.3口径,5,平台自披露,同比,5天,复合值,2024-05-10,
热门新消费,县域市场酒店预订量同比,68,%,同程旅行,"2024""五一""假期旅游消费报告（头条转引）",2024-05-07,C,https://www.toutiao.com/article/7366058048906871305/,景区门票订单+151%,5,平台自披露,同比,5天,水平值,2024-05-10,
热门新消费,热门县域旅游订单平均增长,36,%,携程,"2024""五一""假期旅行总结（央广网转引）",2024-05-06,C,https://www.toutiao.com/article/7365784444550021642/,安吉/桐庐/都江堰等,5,平台自披露,无(水平值),5天,水平值,2024-05-10,
热门新消费,中老铁路发送旅客,38,万人次,新华社,五一假期看中国经济回升向好,2024-05-07,A,https://www.news.cn/politics/20240507/f7e6bef1ae9744caa51e16b6cfa87845/c.html,国际列车上座率约八成,5,官方总量,无(水平值),5天,水平值,2024-05-10,
热门新消费,出境游（飞猪）增速,100+,%,飞猪,"2024""五一""假期出游快报（凤凰网转引）",2024-05-05,C,https://i.ifeng.com/c/8ZN3TpqPtzn,接近翻倍，自由行占比超80%,5,平台自披露,无(水平值),5天,增长率,2024-05-10,
热门新消费,租车自驾游同比,40+,%,同程旅行（头条转引）,县域旅游掀热潮,2024-05-07,C,https://www.toutiao.com/article/7366058048906871305/,自驾出行比例超八成,5,平台自披露,同比,5天,水平值,2024-05-10,
