主题,数据点,数值,单位,来源机构,报告/资料名,发布时间,可信度等级,URL,备注,假期天数,口径类型,基期,统计窗口,数值类型,采集日期,缺口标记
总体,国庆7天全国国内出游人次,7.65,亿人次,文化和旅游部（数据中心）,2024年国庆节假期文化和旅游市场情况,2024-10-08,A,https://www.mct.gov.cn/gtb/index.jsp?url=http%3A%2F%2Fwww.mct.gov.cn%2Fwlbphone%2Fwlbydd%2Fxxfb%2Fjiaodianxinwen%2F202410%2Ft20241008_955599.html,同比+5.9%，较2019同期+10.2%；2024年中秋(9/15-17)与国庆(10/1-7)分设，不与中秋合并统计,7,官方总量,较2019,7天,增长率,2024-10-09,
总体,国庆7天国内游客出游总花费,7008.17,亿元,文化和旅游部（数据中心）,2024年国庆节假期文化和旅游市场情况,2024-10-08,A,https://www.mct.gov.cn/gtb/index.jsp?url=http%3A%2F%2Fwww.mct.gov.cn%2Fwlbphone%2Fwlbydd%2Fxxfb%2Fjiaodianxinwen%2F202410%2Ft20241008_955599.html,同比+6.3%，较2019同期+7.9%,7,官方总量,较2019,7天,增长率,2024-10-09,
总体,国庆营业性演出场次,4.43,万场次,文化和旅游部（数据中心）,2024年国庆节假期文化和旅游市场情况,2024-10-08,A,https://www.mct.gov.cn/gtb/index.jsp?url=http%3A%2F%2Fwww.mct.gov.cn%2Fwlbphone%2Fwlbydd%2Fxxfb%2Fjiaodianxinwen%2F202410%2Ft20241008_955599.html,同比+14.5%,7,官方总量,同比,7天,增长率,2024-10-09,
总体,国庆营业性演出票房收入,22.09,亿元,文化和旅游部（数据中心）,2024年国庆节假期文化和旅游市场情况,2024-10-08,A,https://www.mct.gov.cn/gtb/index.jsp?url=http%3A%2F%2Fwww.mct.gov.cn%2Fwlbphone%2Fwlbydd%2Fxxfb%2Fjiaodianxinwen%2F202410%2Ft20241008_955599.html,同比+25.9%,7,官方总量,同比,7天,增长率,2024-10-09,
总体,国庆营业性演出观众,1169.7,万人次,文化和旅游部（数据中心）,2024年国庆节假期文化和旅游市场情况,2024-10-08,A,https://www.mct.gov.cn/gtb/index.jsp?url=http%3A%2F%2Fwww.mct.gov.cn%2Fwlbphone%2Fwlbydd%2Fxxfb%2Fjiaodianxinwen%2F202410%2Ft20241008_955599.html,同比+13.3%,7,官方总量,同比,7天,增长率,2024-10-09,
总体,国家级夜间文旅消费集聚区夜间客流量,9686.23,万人次,文化和旅游部（数据中心）,2024年国庆节假期文化和旅游市场情况,2024-10-08,A,https://www.mct.gov.cn/gtb/index.jsp?url=http%3A%2F%2Fwww.mct.gov.cn%2Fwlbphone%2Fwlbydd%2Fxxfb%2Fjiaodianxinwen%2F202410%2Ft20241008_955599.html,按可比口径每夜较2023+25.4%,7,官方总量,较2023,7天,增长率,2024-10-09,
总体,全国非遗传承实践活动,近3900,场,文化和旅游部（数据中心）,2024年国庆节假期文化和旅游市场情况,2024-10-08,A,https://www.mct.gov.cn/gtb/index.jsp?url=http%3A%2F%2Fwww.mct.gov.cn%2Fwlbphone%2Fwlbydd%2Fxxfb%2Fjiaodianxinwen%2F202410%2Ft20241008_955599.html,,7,官方总量,无(水平值),7天,水平值,2024-10-09,
交通,国庆全社会跨区域人员流动量,20.03,亿人次,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,日均28618.7万，较2023日均+3.9%，较2019日均+23.1%；口径为10/1-7,7,官方跨区域(含自驾),较2019,7天,增长率,2024-10-09,
交通,国庆铁路客运量,13125.1,万人次,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,日均1875万，较2023日均+6.3%,7,官方跨区域(含自驾),较2023,7天,增长率,2024-10-09,
交通,国庆公路人员流动量,184616,万人次,交通运输部,国庆假期交通数据,2024-10-08,A,https://news.cctv.cn/2024/10/08/ARTITB2Q9k1Se1Ks5jBM8YCD241008.shtml,日均26373.7万，+3.7%；其中小客车158541万(+3.8%，较2019+55.8%),7,官方跨区域(含自驾),较2019,7天,增长率,2024-10-09,
