主题,数据点,数值,单位,来源机构,报告/资料名,发布时间,可信度等级,URL,备注,假期天数,口径类型,基期,统计窗口,数值类型,采集日期,缺口标记
总体,暑期国内出游人次,19.49,亿人次,中国旅游研究院（文化和旅游部数据中心）,2024年旅游经济回顾与展望,2025-01,A,https://www.ctaweb.org.cn/zhuantiyanjiu/9969.html,暑期6—8月；同比+6.0%；全面超越2019年同期,62,官方总量,同比,7.1-8.31,增长率,2024-09-20,
总体,暑期国内出游总花费,1.31,万亿元,中国旅游研究院（文化和旅游部数据中心）,2024年旅游经济回顾与展望,2025-01,A,https://www.ctaweb.org.cn/zhuantiyanjiu/9969.html,同比+8.3%,62,官方总量,同比,7.1-8.31,增长率,2024-09-20,
交通,全社会跨区域人员流动量,109.17,亿人次,交通运输部,2024年暑运数据,2024-09-01,A,https://news.cctv.cn/2024/09/01/ARTIYi2IDQ61AFglUHFxvEUt240901.shtml,7月1日—8月31日；日均1.76亿；同比+3.8%,62,官方跨区域(含自驾),同比,7.1-8.31,增长率,2024-09-20,
交通,铁路发送旅客,8.87,亿人次,交通运输部（国铁集团）,2024年暑运数据,2024-09-01,A,https://news.cctv.cn/2024/09/01/ARTIYi2IDQ61AFglUHFxvEUt240901.shtml,同比+6.7%；日均1431.2万；创暑运历史新高,62,官方跨区域(含自驾),同比,7.1-8.31,增长率,2024-09-20,
交通,公路人员流动量,98.19,亿人次,交通运输部,2024年暑运数据,2024-09-02,A,https://finance.people.com.cn/BIG5/n1/2024/0902/c1004-40311130.html,同比+3.77%；日均1.58亿,62,官方跨区域(含自驾),同比,7.1-8.31,增长率,2024-09-20,
交通,民航客运量,14189,万人次,交通运输部（民航局）,2024年暑运数据,2024-09-01,A,https://news.cctv.cn/2024/09/01/ARTIYi2IDQ61AFglUHFxvEUt240901.shtml,同比+12.21%；日均228.9万；创历史新高,62,官方跨区域(含自驾),同比,7.1-8.31,增长率,2024-09-20,
交通,水路客运量,超6300,万人次,交通运输部,2024年暑运数据,2024-09-02,A,https://finance.people.com.cn/BIG5/n1/2024/0902/c1004-40311130.html,超6300万人次,62,官方跨区域(含自驾),无(水平值),7.1-8.31,水平值,2024-09-20,
交通,小客车自驾出行占比,近八成,—,交通运输部,2024年暑运数据,2024-08-31,A,https://news.cctv.com/2024/08/31/ARTIlT0H6JfwgUxxnH0Wcw8f240831.shtml,公路出行；跨省车流占比超六成,62,官方跨区域(含自驾),无(水平值),7.1-8.31,水平值,2024-09-20,
政策与宏观,7月社会消费品零售总额,3.78,万亿元,商务部（国家统计局）,2024年7月消费市场情况,2024-08-22,A,https://cif.mofcom.gov.cn/cif/html/newsIssue/2024/8/1724305229374.html,同比+2.7%；1—7月27.37万亿（+3.5%）,62,官方总量,同比,7.1-8.31,增长率,2024-09-20,
政策与宏观,1—7月服务零售额,+7.2,%,商务部（国家统计局）,2024年7月消费市场情况,2024-08-22,A,https://cif.mofcom.gov.cn/cif/html/newsIssue/2024/8/1724305229374.html,餐饮收入3.06万亿（+7.1%）,62,官方总量,无(水平值),7.1-8.31,水平值,2024-09-20,
政策与宏观,1—7月实物商品网上零售额,+8.7,%,商务部（国家统计局）,2024年7月消费市场情况,2024-08-22,A,https://cif.mofcom.gov.cn/cif/html/newsIssue/2024/8/1724305229374.html,占社零总额25.6%,62,官方总量,无(水平值),7.1-8.31,水平值,2024-09-20,
政策与宏观,8月社会消费品零售总额,3.87,万亿元,商务部（国家统计局）,2024年8月消费市场情况,2024-09-20,A,https://big5.cctv.com/gate/big5/jingji.cctv.com/2024/09/20/ARTIZx4NjLeCfHSs9RGQu7A0240920.shtml,同比+2.1%；1—8月31.25万亿（+3.4%）,62,官方总量,同比,7.1-8.31,增长率,2024-09-20,
政策与宏观,1—8月服务零售额,+6.9,%,商务部（国家统计局）,2024年8月消费市场情况,2024-09-20,A,https://big5.cctv.com/gate/big5/jingji.cctv.com/2024/09/20/ARTIZx4NjLeCfHSs9RGQu7A0240920.shtml,餐饮收入3.5万亿（+6.6%）,62,官方总量,无(水平值),7.1-8.31,水平值,2024-09-20,
政策与宏观,1—8月实物商品网上零售额,+8.1,%,商务部（国家统计局）,2024年8月消费市场情况,2024-09-20,A,https://big5.cctv.com/gate/big5/jingji.cctv.com/2024/09/20/ARTIZx4NjLeCfHSs9RGQu7A0240920.shtml,占社零总额25.6%,62,官方总量,无(水平值),7.1-8.31,水平值,2024-09-20,
酒店,暑期全部酒店平均房价ADR,216.68,元,中信证券（酒店数据跟踪）,2024年8月第5周酒店数据跟踪,2024-09,C,https://www.meiritouyan.com/3886.html,7月1日—8月31日；同比-5.3%,62,待核,同比,7.1-8.31,增长率,2024-09-20,
酒店,暑期全部酒店入住率OCC,65.69,%,中信证券（酒店数据跟踪）,2024年8月第5周酒店数据跟踪,2024-09,C,https://www.meiritouyan.com/3886.html,同比+0.4pct,62,待核,同比,7.1-8.31,增长率,2024-09-20,
酒店,暑期全部酒店RevPAR,142.71,元,中信证券（酒店数据跟踪）,2024年8月第5周酒店数据跟踪,2024-09,C,https://www.meiritouyan.com/3886.html,同比-4.8%；间夜需求约+6.2%,62,待核,同比,7.1-8.31,增长率,2024-09-20,
酒店,中星酒店平均价格,-8,%,去哪儿大数据,暑期酒店价格分析,2024-08-27,C,https://www.toutiao.com/article/7407655600668017204/,同比；国际机票-22%、国际酒店-24%,62,平台自披露,同比,7.1-8.31,增长率,2024-09-20,
酒店,北京高星级酒店暑期入住率,约80,%,多家北京高星酒店（中国网）,暑期北京住宿市场,2024-07-16,B,https://www.toutiao.com/article/7392043294383030784/,去年同期85%以上；市场理性回落,62,待核,无(水平值),7.1-8.31,水平值,2024-09-20,
酒店,三亚亚特兰蒂斯入住率,89.6,%,复星旅文（2024H1财报）,2024年上半年财报,2024-08,C,https://www.sohu.com/a/804738155_114988,同比+3pct；客房ADR 2044元,62,待核,同比,7.1-8.31,增长率,2024-09-20,
酒店,三线及以下城市酒店经营指标增长前十占比,90,%,尚美数智酒店集团,暑期数据,2024-08,C,https://www.toutiao.com/article/7407655600668017204/,宁夏吴忠OCC同比+62.2pct，全国第一,62,待核,同比,7.1-8.31,增长率,2024-09-20,
平台,携程亲子客群暑期订单占比,35,%,携程,2024暑期出游市场报告,2024-08-28,C,https://www.chinaqw.com.cn/hqly/2024/09-02/383264.shtml,高质量陪伴游,62,平台自披露,无(水平值),7.1-8.31,水平值,2024-09-20,
平台,携程研学游订单量,+175,%,携程,2024暑期出游市场报告,2024-08-28,C,https://www.cnr.cn/lvyou/hydt/20240902/t20240902_526883432.shtml,国内研学人数+2倍，海外+120%,62,平台自披露,无(水平值),7.1-8.31,增长率,2024-09-20,
平台,携程县域目的地旅游订单（环比前两月）,+45,%,携程,2024暑期出游市场报告,2024-08-28,C,https://www.sanqin.com/2024-08/28/content_10832397.html,高于一线城市增速；县域入境游+102%,62,平台自披露,环比,7.1-8.31,水平值,2024-09-20,
平台,携程整体租车订单,+22,%,携程,2024暑期出游市场报告,2024-08-28,C,https://www.sanqin.com/2024-08/28/content_10832397.html,房车自驾新客占49%,62,平台自披露,无(水平值),7.1-8.31,水平值,2024-09-20,
平台,携程入境游订单,+约七成,%,携程,2024暑期出游市场报告,2024-08-28,C,https://www.chinaqw.com.cn/hqly/2024/09-02/383264.shtml,入境游客人次同比+超30倍,62,平台自披露,同比,7.1-8.31,增长率,2024-09-20,
平台,携程出境游订单,+超四成,%,携程,2024暑期出游市场报告,2024-08-28,C,https://www.chinaqw.com.cn/hqly/2024/09-02/383264.shtml,赴巴黎+129%，欧洲租车+170%,62,平台自披露,无(水平值),7.1-8.31,水平值,2024-09-20,
平台,飞猪国内线路游预订量,双位数增长,指数,飞猪,2024暑期出游快报,2024-08,C,http://www.scpublic.cn/news/wx/detail?newsid=792360,直营品牌酒店+约三成；国内租车+超6成,62,平台自披露,无(水平值),7.1-8.31,水平值,2024-09-20,
平台,去哪儿县域酒店预订量（环比）,+113,%,去哪儿大数据,暑期数据,2024-08,C,https://www.cnr.cn/lvyou/hydt/20240902/t20240902_526883432.shtml,四五线及下辖县酒店同比+24%,62,平台自披露,同比,7.1-8.31,增长率,2024-09-20,
平台,同程亲子客群占比,约35.1,%,同程旅行,2024暑期旅游市场盘点,2024-08,C,https://finance.sina.cn/2024-08-30/detail-incmmrra0090128.d.html,多人出行场景,62,平台自披露,无(水平值),7.1-8.31,水平值,2024-09-20,
景区,全国重点博物馆门票预订量排名,第一,—,旅游平台数据（央视转引）,暑期文旅消费盘点,2024-09-02,B,https://news.cctv.com/2024/09/02/ARTIrCbFj5cDxbMJuJ6NKi38240902.shtml,博物馆人次同比两位数增长；一度超主题乐园,62,官方总量,同比,7.1-8.31,增长率,2024-09-20,
目的地,重庆暑期接待游客,8319,万人次,重庆市文化旅游委,重庆暑期数据,2024-09,B,https://e.thecover.cn/wapepaper/html/20240914/218698.html,同比+15.3%；游客总花费899亿（+13.5%）,62,待核,同比,7.1-8.31,增长率,2024-09-20,
