主题,数据点,数值,单位,来源机构,报告/资料名,发布时间,可信度等级,URL,备注,假期天数,口径类型,基期,统计窗口,数值类型,采集日期,缺口标记
总体,端午3天全国国内旅游出游人次,1.1,亿人次,文化和旅游部,2024年端午节假期文化和旅游市场情况,2024-06-10,A,https://www.mct.gov.cn/whzx/whyw/202406/t20240610_953396.htm,同比+6.3%,3,官方总量,同比,3天,增长率,2024-06-13,
总体,端午3天国内游客出游总花费,403.5,亿元,文化和旅游部,2024年端午节假期文化和旅游市场情况,2024-06-10,A,https://www.mct.gov.cn/whzx/whyw/202406/t20240610_953396.htm,同比+8.1%,3,官方总量,同比,3天,增长率,2024-06-13,
总体,人均旅游消费（测算）,366.8,元,测算（总花费/出游人次）,人均消费=403.5亿/1.1亿,2024-06,D,https://www.mct.gov.cn/whzx/whyw/202406/t20240610_953396.htm,测算值,3,测算,无(水平值),3天,水平值,2024-06-13,
交通,端午跨区域人员流动量,63761.6,万人次,交通运输部（央广网转引）,端午假期出行数据,2024-06-11,A,https://news.cnr.cn/dj/20240611/t20240611_526740083.shtml,日均21253.9万，较2019+16.6%，较2023+9.4%,3,官方跨区域(含自驾),较2019,3天,增长率,2024-06-13,
交通,端午铁路发送旅客,4604.7,万人次,交通运输部（央广网转引）,端午假期出行数据,2024-06-11,A,https://news.cnr.cn/dj/20240611/t20240611_526740083.shtml,日均1534.9万，较2019+18.6%，较2023+5.1%,3,官方跨区域(含自驾),较2019,3天,增长率,2024-06-13,
景区,北京接待游客,779.2,万人次,北京市文旅局（中国网财经转引）,端午假期旅游成绩单,2024-06-12,B,https://www.cnr.cn/lvyou/hydt/20240614/t20240614_526744915.shtml,旅游消费100.9亿,3,官方总量,无(水平值),3天,水平值,2024-06-13,
景区,辽宁接待游客,1026.5,万人次,辽宁省文旅厅（中国网财经转引）,端午假期旅游成绩单,2024-06-12,B,https://www.cnr.cn/lvyou/hydt/20240614/t20240614_526744915.shtml,同比+40.4%，收入77.6亿+51.7%,3,待核,同比,3天,增长率,2024-06-13,
景区,浙江全域旅游人数,1440.9,万人次,浙江省文旅厅（中国网财经转引）,端午假期旅游成绩单,2024-06-12,B,https://www.cnr.cn/lvyou/hydt/20240614/t20240614_526744915.shtml,旅游收入123亿,3,待核,无(水平值),3天,水平值,2024-06-13,
景区,安徽接待游客,1937.6,万人次,安徽省文旅厅（中国网财经转引）,端午假期旅游成绩单,2024-06-12,B,https://www.cnr.cn/lvyou/hydt/20240614/t20240614_526744915.shtml,同比+5.7%，收入101.9亿+13.9%,3,待核,同比,3天,增长率,2024-06-13,
酒店,国内酒店预订热度最高城市,北京/成都/广州等,座,同程旅行,2024端午假期旅行消费报告,2024-06-10,C,https://finance.sina.com.cn/tech/2024-06-10/doc-inayhfkz9046913.shtml,北京/重庆/西安/苏州预订+超30%,3,平台自披露,无(水平值),3天,水平值,2024-06-13,
酒店,热门三四线城市旅游预订热度同比,100+,%,同程旅行,2024端午假期旅行消费报告,2024-06-10,C,https://finance.sina.com.cn/tech/2024-06-10/doc-inayhfkz9046913.shtml,黑马：黄山/阿坝/阿勒泰等,3,平台自披露,同比,3天,水平值,2024-06-13,
酒店,阿勒泰酒店预订热度同比,186,%,同程旅行,2024端午假期旅行消费报告,2024-06-10,C,https://caifuhao.eastmoney.com/news/20240610220621519523110,影视《我的阿勒泰》带动,3,平台自披露,同比,3天,水平值,2024-06-13,
酒店,木鸟民宿订单/乡村民宿订单同比,76/116,%,木鸟民宿（券商转引）,旅游行业端午数据总结,2024-06,C,https://fxbaogao.com/detail/4342008,携宠自驾周边游新趋势,3,平台自披露,同比,3天,复合值,2024-06-13,
游客画像,周边游/本地游占比,38/29,%,携程,2024端午旅行报告（券商转引）,2024-06,C,https://fxbaogao.com/detail/4342008,周边游订单+近2成,3,平台自披露,无(水平值),3天,复合值,2024-06-13,
游客画像,本地游+周边游占比,49,%,途牛,2024端午旅游报告（中国网转引）,2024-06-12,C,https://www.cnr.cn/lvyou/hydt/20240614/t20240614_526744915.shtml,1-2天短途为主,3,平台自披露,无(水平值),3天,水平值,2024-06-13,
游客画像,00后出游人次同比,30+,%,携程（券商转引）,旅游行业端午数据总结,2024-06,C,https://fxbaogao.com/detail/4342008,年轻化趋势,3,平台自披露,同比,3天,水平值,2024-06-13,
游客画像,90后租车订单占比/00后租车订单同比,40/150,%/%,携程租车（券商转引）,旅游行业端午数据总结,2024-06,C,https://fxbaogao.com/detail/4342008,,3,平台自披露,同比,3天,复合值,2024-06-13,
政策宏观,全国重点零售和餐饮企业销售额同比,9.8,%,商务部（央视新闻联播转引）,新场景新业态激活假日消费,2024-06-11,A,https://news.cctv.com/2024/06/11/ARTIb9IEUGUScDfNyvwzYv95240611.shtml,,3,官方总量,同比,3天,水平值,2024-06-13,
政策宏观,全国示范步行街客流/营业额同比,11.7/9.2,%,商务部（央视新闻联播转引）,新场景新业态激活假日消费,2024-06-11,A,https://news.cctv.com/2024/06/11/ARTIb9IEUGUScDfNyvwzYv95240611.shtml,,3,官方总量,同比,3天,复合值,2024-06-13,
