检索关键词,检索时间,标题,来源机构,报告/资料名,发布时间,URL,内容摘要,快照路径,层(layer),状态,观测批次,同源复用
2024 端午 出游,2026-08-28-R1,国内旅游出游人次 = 1.1亿人次,文化和旅游部,文化和旅游部2024年端午节假期数据,2024,https://www.mct.gov.cn/whzx/whyw/202406/t20240610_953396.htm,文旅部：端午假期全国国内旅游出游1.1亿人次，同比+6.3%,snapshots/文化和旅游部_国内旅游出游人次.html,L1,入库L1,R1,否
2024 端午 收入,2026-08-28-R1,国内游客出游总花费 = 403.5亿元,文化和旅游部,文化和旅游部2024年端午节假期数据,2024,https://www.mct.gov.cn/whzx/whyw/202406/t20240610_953396.htm,文旅部：端午假期国内游客出游总花费403.5亿元，同比+8.1%,snapshots/文化和旅游部_国内游客出游总花费.html,L1,入库L1,R1,否
2024 端午 跨区域,2026-08-28-R1,全社会跨区域人员流动量 = 63761.6万人次,交通运输部,交通运输部2024年端午节假期数据,2024,http://finance.people.com.cn/n1/2024/0611/c1004-40254476.html,交通运输部：端午假期全社会跨区域人员流动量63761.6万人次，比2023年+9.4%,snapshots/交通运输部_全社会跨区域人员流动量.html,L1,入库L1,R1,否
2024 端午 铁路,2026-08-28-R1,铁路发送旅客 = 4604.7万人次,国铁集团,国铁集团2024年端午节假期数据,2024,http://finance.people.com.cn/n1/2024/0611/c1004-40254476.html,端午铁路发送旅客4604.7万人次，日均1534.9万，比2019年+18.6%,snapshots/国铁集团_铁路发送旅客.html,L1,入库L1,R1,否
2024 端午 民航,2026-08-28-R1,民航客运量 = 553万人次,民航局,民航局2024年端午节假期数据,2024,https://www.iesdouyin.com/share/video/7379237962472639759,端午民航客运量553万人次，比2023年+7.9%,snapshots/民航局_民航客运量.html,L1,入库L1,R1,否
2024 端午 出入境,2026-08-28-R1,出入境人员 = 575.2万人次,国家移民管理局,国家移民管理局2024年端午节假期数据,2024,https://whwb.cjn.cn/resfile/2024-06-12/15/B2024-06-12A1501.pdf,移民局：端午假期出入境人员575.2万人次，其中外国人50.7万+57%,snapshots/国家移民管理局_出入境人员.html,L1,入库L1,R1,否
2024 端午 商务部,2026-08-28-R1,商务部重点监测餐饮企业销售额增速 = 7.9%,商务部,商务部2024年端午节假期数据,2024,https://www.gov.cn/lianbo/bumen/202406/content_6956584.htm,商务部：端午假期重点监测餐饮企业销售额同比+7.9%,snapshots/商务部_商务部重点监测餐饮企业销售额增速.html,L1,入库L1,R1,否
2024 端午 四川,2026-08-28-R1,四川接待游客 = 1040.5万人次,四川省文化和旅游厅,四川省文化和旅游厅2024年端午节假期数据,2024,https://www.sc.gov.cn/10462/10464/10797/2024/6/11/41d0e4a8a1c8499e9e7be75b8b4a4a3d.shtml,四川端午接待游客1040.5万人次，旅游消费总额69.06亿元,未存-HTTPError,L1,入库L1-快照未存,R1,否
2024 端午 湖南,2026-08-28-R1,湖南接待游客 = 1368.81万人次,湖南省文化和旅游厅,湖南省文化和旅游厅2024年端午节假期数据,2024,https://whhlyt.hunan.gov.cn/news/wlyw/202406/t20240611_33384408.html,湖南端午接待游客1368.81万人次，旅游综合收入121.2亿元,未存-URLError,L1,入库L1-快照未存,R1,否
2024 端午 北京,2026-08-28-R1,北京重点监测企业销售额 = 28.6亿元,北京市商务局,北京市商务局2024年端午节假期数据,2024,https://www.bjnews.com.cn/finance/2024/06/11/101551.html,北京端午重点监测企业销售额28.6亿元,snapshots/北京市商务局_北京重点监测企业销售额.html,L1,入库L1,R1,否
2024 端午 携程,2026-08-28-R1,携程端午周边游预订量增速 = 20%,携程,携程2024年端午节假期数据,2024,https://m.gmw.cn/2024-06/11/content_37372943.htm,携程：端午假期周边游预订量同比+20%。平台自身口径,snapshots/携程_携程端午周边游预订量增速.html,L1,入库L1,R1,否
2024 端午 途牛,2026-08-28-R1,途牛端午国内长线游占比 = 51%,途牛,途牛2024年端午节假期数据,2024,https://www.stcn.com/article/detail/1207635.html,途牛：端午国内长线游占比较高。平台自身口径,snapshots/途牛_途牛端午国内长线游占比.html,L1,入库L1,R1,否
2024 端午 龙舟,2026-08-28-R1,龙舟赛等民俗活动成端午假日旅游新亮点：各地举办非遗、展演、市集、赛事等民俗活动,文旅部,,,https://www.gov.cn/lianbo/bumen/202406/content_6956584.htm,群众赛龙舟、吃粽子、唱山歌，民俗游成为端午假期出游重要主题,snapshots/文旅部_龙舟赛等民俗活动成端午假日旅游新.html,L2,入库L2,R1,否
2024 端午 新中式,2026-08-28-R1,'新中式'国潮风靡端午：马面裙、汉服等中式穿搭走热，国潮消费持续升温,光明网,,,https://m.gmw.cn/2024-06/11/content_37372943.htm,端午假期'新中式'国潮风靡，激发假日消费新活力,snapshots/光明网_'新中式'国潮风靡端午：马面裙、.html,L2,入库L2,R1,否
2024 端午 江苏,2026-08-28-R1,江苏接待游客 = 1190.4万人次,江苏省文化和旅游厅,江苏省文化和旅游厅2024年端午节假期数据,2024,https://www.jiangsu.gov.cn/art/2024/6/11/art_60085_11267194.html,江苏端午纳入监测景区等接待游客1190.4万人次(+16%)，消费总额48.4亿元(+15.1%),snapshots/江苏省文化和旅游厅_江苏接待游客.html,L1,入库L1,R1,否
2024 端午 安徽,2026-08-28-R1,安徽接待游客 = 1937.6万人次,安徽省文化和旅游厅,安徽省文化和旅游厅2024年端午节假期数据,2024,https://www.ah.gov.cn/zwyw/jryw/565331241.html,安徽端午接待游客1937.6万人次(+5.7%)，旅游收入101.9亿元(+13.9%),snapshots/安徽省文化和旅游厅_安徽接待游客.html,L1,入库L1,R1,否
2024 端午 浙江,2026-08-28-R1,浙江全域旅游人数 = 1440.9万人次,浙江省文化广电和旅游厅,浙江省文化广电和旅游厅2024年端午节假期数据,2024,http://www.zj.xinhuanet.com/20240611/5f4fab356e9d44558d948c4286ce3150/c.html,浙江端午全域旅游人数达1440.9万人次,snapshots/浙江省文化广电和旅游厅_浙江全域旅游人数.html,L1,入库L1,R1,否
2024 端午 南京,2026-08-28-R1,南京接待游客 = 549万人次,南京市文旅局,南京市文旅局2024年端午节假期数据,2024,http://gjzx.jschina.com.cn/21660/202406/t20240611_8309340.shtml,南京端午接待游客549万人次(+16.8%)，文旅消费金额31.7亿元居省内第一,snapshots/南京市文旅局_南京接待游客.html,L1,入库L1,R1,否
2024 端午 上海 消费,2026-08-28-R1,上海线上线下消费额 = 310.7亿元,消费市场大数据实验室(上海),消费市场大数据实验室(上海)2024年端午节假期数据,2024,http://www.cnr.cn/shanghai/tt/20240611/t20240611_526739177.shtml,上海端午线上线下消费310.7亿元，比去年+17.3%,snapshots/消费市场大数据实验室(上_上海线上线下消费额.html,L1,入库L1,R1,否
2024 端午 贵州 支付,2026-08-28-R1,贵州银联商务累计消费金额 = 119.19亿元,贵州省商务厅(银联商务),贵州省商务厅2024年端午节假期数据,2024,https://www.guizhou.gov.cn/home/gzyw/202406/t20240613_84865287.html,贵州端午银联商务监测累计消费金额119.19亿元(+3.52%)，人次2256.1万(+4.51%),snapshots/贵州省商务厅(银联商务)_贵州银联商务累计消费金额.html,L1,入库L1,R1,否
2024 端午 银联 江苏,2026-08-28-R1,江苏外地游客银联文旅消费 = 64.6亿元,银联(江苏),银联(江苏)2024年端午节假期数据,2024,https://www.mct.gov.cn/whzx/qgwhxxlb/js/202406/t20240611_953406.htm,银联：江苏端午前2天外地游客文旅消费64.6亿元(+28%)，占全国11.3%,snapshots/银联(江苏)_江苏外地游客银联文旅消费.html,L1,入库L1,R1,否
