主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
交通出行,中老铁路发送旅客,38,万人次,人次,2024-05-01 至 2024-05-05,5天,五一5天口径v3.0,铁路客运量,官方总量,实际,无(水平值),5,水平值,2026-08-21,,新华社,五一假期看中国经济回升向好,2024-05-07,A,https://www.news.cn/politics/20240507/f7e6bef1ae9744caa51e16b6cfa87845/c.html,现象:中老铁路跨境游;国际列车上座率约八成
交通出行,全社会跨区域人员流动量,135846.27,万人次,人次,2024-05-01 至 2024-05-05,5天,五一5天口径v1.0,官方跨区域(含自驾),官方跨区域(含自驾),实际,较2019,5,水平值,2026-08-21,,交通运输部,"2024年""五一""假期全社会跨区域人员流动量",2024-05-06,A,https://www.gov.cn/lianbo/bumen/202405/content_6949380.htm,日均27169.3万;同比+2.1%;较2019同期+23.7%;含自驾口径
交通出行,全社会跨区域人员流动量(下一期预测),62000,万人次,人次,2024-06-08 至 06-10未发生,3天,端午3天口径预测,官方跨区域(含自驾),测算,预计,同比,5,水平值,2026-08-21,预判待回填,本报告预测(据交通运输部历史+3天口径),前瞻台账2024五一,2026-08-21,D,https://www.gov.cn/lianbo/bumen/202405/content_6949380.htm,预测ID=2024五一-F03;中心值6.2亿人次;区间5.9-6.6亿;置信度低;参照2023端午跨区域流动约5.87亿人次(3天)口径推算;当实测不得混栏
交通出行,全社会跨区域人员流动量日均,27169.3,万人次/日,日度,2024-05-01 至 2024-05-05,5天,五一5天口径v2.0,官方跨区域(含自驾),官方跨区域(含自驾),实际,同比,5,水平值,2026-08-21,,交通运输部,"2024年""五一""假期全社会跨区域人员流动量",2024-05-06,A,https://www.gov.cn/lianbo/bumen/202405/content_6949380.htm,官方发布日均值
交通出行,公路跨区域人员流动量,124977,万人次,人次,2024-05-01 至 2024-05-05,5天,五一5天口径v4.0,公路人员流动量,官方跨区域(含自驾),实际,同比,5,水平值,2026-08-21,,交通运输部,"2024年""五一""假期全社会跨区域人员流动量",2024-05-06,A,https://www.gov.cn/lianbo/bumen/202405/content_6949380.htm,日均24995.4万;同比+2.1%;含自驾小客车≠公共客运量;2024免通5天(2023为4天)
交通出行,公路跨区域人员流动量日均,24995.4,万人次/日,日度,2024-05-01 至 2024-05-05,5天,五一5天口径v2.0,公路人员流动量,官方跨区域(含自驾),实际,同比,5,水平值,2026-08-21,,交通运输部,"2024年""五一""假期全社会跨区域人员流动量",2024-05-06,A,https://www.gov.cn/lianbo/bumen/202405/content_6949380.htm,官方发布日均值;同比+2.1%
交通出行,民航客运量,997.1,万人次,人次,2024-05-01 至 2024-05-05,5天,五一5天口径v1.0,民航客运量,官方营业性(不含自驾),实际,较2019,5,水平值,2026-08-21,,交通运输部,"2024年""五一""假期全社会跨区域人员流动量",2024-05-06,A,https://www.gov.cn/lianbo/bumen/202405/content_6949380.htm,日均199.4万;同比+8.1%;较2019+11.1%;公共客运量
交通出行,民航客运量日均,199.4,万人次/日,日度,2024-05-01 至 2024-05-05,5天,五一5天口径v2.0,民航客运量,官方营业性(不含自驾),实际,同比,5,水平值,2026-08-21,,交通运输部,"2024年""五一""假期全社会跨区域人员流动量",2024-05-06,A,https://www.gov.cn/lianbo/bumen/202405/content_6949380.htm,官方发布日均值;同比+8.1%
交通出行,水路客运量,695.67,万人次,人次,2024-05-01 至 2024-05-05,5天,五一5天口径v1.0,水路客运量,官方营业性(不含自驾),实际,同比,5,水平值,2026-08-21,,交通运输部,"2024年""五一""假期全社会跨区域人员流动量",2024-05-06,A,https://www.gov.cn/lianbo/bumen/202405/content_6949380.htm,日均139.1万;同比+6.0%
交通出行,铁路单日发送旅客峰值,2069.3,万人次,日度,2024-05-01,单日,单日口径,铁路客运量,官方营业性(不含自驾),实际,无(水平值),5,水平值,2026-08-21,,国铁集团(中国政府网转引),5月1日全国铁路旅客发送量创单日历史新高,2024-05-02,A,https://www.gov.cn/yaowen/liebiao/202405/content_6948887.htm,5月1日单日创历史新高
