主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
交通出行,2023春节7天铁路公路水路民航发送旅客,2.26,亿人次,水平值,2023-01-21~2023-01-27,7天,春运工作专班口径,官方营业性(不含自驾),官方营业性(不含自驾),实际,无(水平值),7,水平值,2026-08-21,历史基线,春运工作专班(中国政府网),春节假期发送旅客,2023-01-28,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/xinwen/2023-01/28/content_5738970.htm,铁路5017.4万/公路1.62亿/水路486.8万/民航900.6万
交通出行,全社会跨区域人员流动量,22.93,亿人次,水平值,2024-02-10~2024-02-17,8天,2024综合运输春运工作专班口径,官方跨区域(含自驾),官方跨区域(含自驾),实际,无(水平值),8,水平值,2026-08-21,,2024年综合运输春运工作专班(交通运输部),春节假期全社会跨区域人员流动量累计达22.93亿人次,2024-02-18,A,https://www.gov.cn/yaowen/liebiao/202402/content_6931744.htm,含自驾;与铁/民/水营业性客运量口径不同不可加总
交通出行,公路人员流动量,216655,万人次,水平值,2024-02-10~2024-02-17,8天,2024综合运输春运工作专班口径,官方跨区域(含自驾),官方跨区域(含自驾),实际,无(水平值),8,水平值,2026-08-21,,2024年综合运输春运工作专班,春节假期全社会跨区域人员流动量累计达22.93亿人次,2024-02-18,A,https://www.gov.cn/yaowen/liebiao/202402/content_6931744.htm,其中小客车出行198029万(占91%)+公路营业性客运18626万
交通出行,哈尔滨局铁路旅客发送量,277.6,万人次,水平值,2024-02-09~2024-02-17,9天,国铁哈尔滨局口径,官方营业性(不含自驾),官方营业性(不含自驾),实际,同比,9,增长率,2026-08-21,,中国铁路哈尔滨局(中新网),春节期间哈尔滨接待游客1009.3万人次,2024-02-18,B,https://m.chinanews.com/wap/detail/chs/zw/10165336.shtml,除夕至初八9天;同比+49.4%
交通出行,哈尔滨机场旅客吞吐量,67.6,万人次,水平值,2024-02-10~2024-02-17,8天,哈尔滨太平机场口径,官方营业性(不含自驾),官方营业性(不含自驾),实际,同比,8,增长率,2026-08-21,,哈尔滨太平国际机场(人民网),哈尔滨冰雪游再创新高,2024-02-19,B,https://society.people.com.cn/n1/2024/0219/c1008-40179168.html,航班起降4107架次同比+21%;旅客+31.5%;东北四大机场之首
交通出行,春节假期单日流动量峰值,30828,万人次/日,日度,2024-02-17,单日,春运专班单日口径,官方跨区域(含自驾),官方跨区域(含自驾),实际,同比,8,水平值,2026-08-21,,2024年综合运输春运工作专班,春节假期全社会跨区域人员流动量累计达22.93亿人次,2024-02-18,A,https://www.gov.cn/yaowen/liebiao/202402/content_6931744.htm,2月17日(初八)达30828万，较2023同期+52.4%，较2019+47.5%
交通出行,春运40天全社会跨区域人员流动量,84,亿人次,水平值,2024-01-26~2024-03-05,40天,交通运输部春运口径,官方跨区域(含自驾),官方跨区域(含自驾),预计,无(水平值),40,水平值,2026-08-21,预判待回填,交通运输部,2024年春运全社会跨区域人员流动量预计超84亿人次,2024-03-05,A,https://www.gov.cn/lianbo/bumen/202403/content_6936769.htm,预计超84亿;其中铁路预计4.8亿
交通出行,春运40天公路人员流动量,78.3,亿人次,水平值,2024-01-26~2024-03-05,40天,交通运输部春运口径,官方跨区域(含自驾),官方跨区域(含自驾),预计,无(水平值),40,水平值,2026-08-21,预判待回填,交通运输部,2024年春运全社会跨区域人员流动量预计超84亿人次,2024-03-05,A,https://www.gov.cn/lianbo/bumen/202403/content_6936769.htm,其中小客车67.2亿占80%;营业性11.1亿
交通出行,春运40天民航客运量(实际),8345,万人次,水平值,2024-01-26~2024-03-05,40天,中国民航局口径,官方营业性(不含自驾),官方营业性(不含自驾),实际,同比,40,增长率,2026-08-21,,中国民航局(环球时报转引),春运收官 流动的中国释放哪些信号,2024-03-06,A,https://www.huanqiu.com/article/4GsK7Yv8Ejn,较2023+51.1%;较2019+14.5%;创历史新高
交通出行,春运40天水路客运量,2900,万人次,水平值,2024-01-26~2024-03-05,40天,交通运输部春运口径,官方营业性(不含自驾),官方营业性(不含自驾),预计,无(水平值),40,水平值,2026-08-21,预判待回填,交通运输部,2024年春运全社会跨区域人员流动量预计超84亿人次,2024-03-05,A,https://www.gov.cn/lianbo/bumen/202403/content_6936769.htm,
交通出行,春运40天铁路客运量(实际),4.84,亿人次,水平值,2024-01-26~2024-03-05,40天,国铁集团口径,官方营业性(不含自驾),官方营业性(不含自驾),实际,同比,40,增长率,2026-08-21,,国铁集团(环球时报转引),春运收官 流动的中国释放哪些信号,2024-03-06,A,https://www.huanqiu.com/article/4GsK7Yv8Ejn,同比+39%;较2019+18.8%;已超2019
交通出行,查验跨境交通运输工具,45.9,万架(艘/列/辆),水平值,2024-02-10~2024-02-17,8天,国家移民管理局边检口径,官方边检,官方边检,实际,较2023,8,增长率,2026-08-21,,国家移民管理局,春节假期1351.7万人次出入境,2024-02-18,A,https://nia.gov.cn/n897453/c1631883/content.html,较2023+1.6倍;粤港澳陆路口岸占总量73.1%
交通出行,民航保障航班,13.7,万班,水平值,2024-02-10~2024-02-17,8天,中国民航局口径,官方营业性(不含自驾),官方营业性(不含自驾),实际,同比,8,增长率,2026-08-21,,中国民航局,2024年春节假期民航市场平稳有序运行,2024-02-19,A,https://www.mot.gov.cn/zhuanti/2024chunyun/qingmanlvtu/202402/t20240219_4016547.html,日均17117班;较2023+33.2%，较2019+4.9%
交通出行,民航客运量,1799,万人次,水平值,2024-02-10~2024-02-17,8天,中国民航局口径,官方营业性(不含自驾),官方营业性(不含自驾),实际,无(水平值),8,水平值,2026-08-21,,中国民航局,2024年春节假期民航市场平稳有序运行,2024-02-19,A,https://www.mot.gov.cn/zhuanti/2024chunyun/qingmanlvtu/202402/t20240219_4016547.html,累计1799.2万人次;日均224.9万，创历史新高
交通出行,民航航班正常率,92.7,%,水平值,2024-02-10~2024-02-17,8天,中国民航局口径,官方营业性(不含自驾),官方营业性(不含自驾),实际,较2019,8,水平值,2026-08-21,,中国民航局,2024年春节假期民航市场平稳有序运行,2024-02-19,A,https://www.mot.gov.cn/zhuanti/2024chunyun/qingmanlvtu/202402/t20240219_4016547.html,较2019提高9.2pct;机场放行正常率93.5%
交通出行,水路客运量,941,万人次,水平值,2024-02-10~2024-02-17,8天,2024综合运输春运工作专班口径,官方营业性(不含自驾),官方营业性(不含自驾),实际,无(水平值),8,水平值,2026-08-21,,2024年综合运输春运工作专班,春节假期全社会跨区域人员流动量累计达22.93亿人次,2024-02-18,A,https://www.gov.cn/yaowen/liebiao/202402/content_6931744.htm,
交通出行,边检出入境人员,1351.7,万人次,水平值,2024-02-10~2024-02-17,8天,国家移民管理局边检口径,官方边检,官方边检,实际,较2023,8,增长率,2026-08-21,,国家移民管理局,春节假期1351.7万人次出入境,2024-02-18,A,https://nia.gov.cn/n897453/c1631883/content.html,日均169万;较2023同期+2.8倍;恢复2019同期近九成
交通出行,边检单日最高出入境(初三),185.7,万人次/日,日度,2024-02-12,单日,国家移民管理局边检口径,官方边检,官方边检,实际,无(水平值),8,水平值,2026-08-21,,国家移民管理局,春节假期1351.7万人次出入境,2024-02-18,A,https://nia.gov.cn/n897453/c1631883/content.html,2月12日(初三)
交通出行,铁路客运量,9946,万人次,水平值,2024-02-10~2024-02-17,8天,国铁集团口径,官方营业性(不含自驾),官方营业性(不含自驾),实际,无(水平值),8,水平值,2026-08-21,,中国国家铁路集团有限公司(中国政府网),春节假期全社会跨区域人员流动量累计达22.93亿人次,2024-02-18,A,https://www.gov.cn/yaowen/liebiao/202402/content_6931744.htm,2月17日单日1606.7万人次，连续4天刷新春运单日新高
平台,中长线游订单同比,300,%,增长率,2024-02-10~2024-02-17,8天,飞猪自披露口径,平台自披露,平台自披露,实际,同比,8,增长率,2026-08-21,,飞猪,2024春节假期出游快报,2024-02-17,C,https://k.sina.cn/article_5044281310_12ca99fde020023gng.html,大增超3倍;国内游预订量大幅超2019同期
平台,亲子/温泉/电竞/影音主题房订单同比,60/55/96/104,%,复合,2024-02-10~2024-02-17,8天,携程自披露口径,平台自披露,平台自披露,实际,同比,8,复合值,2026-08-21,,携程(人民政协网转引),春节国内国外游超疫前同期,2024-02-18,C,https://www.rmzxb.com.cn/c/2024-02-18/3492932.shtml,亲子酒店+60%/温泉+55%/电竞主题房+96%/影音+104%
平台,休闲玩乐订单同比,190,%,增长率,2024-02-10~2024-02-17,8天,美团自披露口径,平台自披露,平台自披露,实际,同比,8,增长率,2026-08-21,,美团(央视网转引),春节消费市场热辣滚烫,2024-02-20,C,https://big5.cctv.com/gate/big5/news.cctv.com/2024/02/20/ARTIDZpZfsusSaFff746vWIJ240220.shtml,洗浴中心/养生按摩+210%
平台,入境游订单较2019,48,%,增长率,2024-02-10~2024-02-17,8天,携程自披露口径,平台自披露,平台自披露,实际,较2019,8,增长率,2026-08-21,,携程,2024龙年春节旅行报告,2024-02-17,C,https://news.ifeng.com/c/8XFVhU2g74K,该平台自身口径，非全市场;入境游景区门票较2019+10倍
平台,冰雪游订单同比(抖音),39,%,增长率,2024-02-09~2024-02-15,7天,抖音自披露口径,平台自披露,弱溯源,实际,同比,7,增长率,2026-08-21,弱溯源,抖音(腾讯IMA百科转引),2024年春节消费数据报告,2024-02,D,https://ima.qq.com/wiki/?shareId=cbadae32c4e2c392d53710839df6127d848a93bce0a84653e0d1a3c74fb536d2&mediaId=pdf_21029587bbfd3216117dc86f4e9abb7c_33d7d947dadadd2549cfaa8913debdc97435586323380958&action=openDetailDrawer&webFrom=10000171,抖音监测期2.9-2.15;弱溯源URL，降级D档参考
平台,出境游预订量同比,1000,%,增长率,2024-02-10~2024-02-17,8天,飞猪自披露口径,平台自披露,平台自披露,实际,同比,8,增长率,2026-08-21,,飞猪,2024春节假期出游快报,2024-02-17,C,https://k.sina.cn/article_5044281310_12ca99fde020023gng.html,大增近10倍;创近4年峰值;前30海外目的地过半超2019
平台,国内单程含税机票均价,1200,元,水平值,2024-02-10~2024-02-17,8天,携程自披露口径,平台自披露,平台自披露,实际,同比,8,增长率,2026-08-21,,携程,2024龙年春节旅行报告,2024-02-17,C,"https://news.cnstock.com/news,bwkx-202402-5190266.htm",同比上涨近2成;该平台自身口径
平台,旅游住宿/休闲娱乐订单同比,130/119,%,复合,2024-02-09~2024-02-15,7天,抖音自披露口径,平台自披露,弱溯源,实际,同比,7,复合值,2026-08-21,弱溯源,抖音(腾讯IMA百科转引),2024年春节消费数据报告,2024-02,D,https://ima.qq.com/wiki/?shareId=cbadae32c4e2c392d53710839df6127d848a93bce0a84653e0d1a3c74fb536d2&mediaId=pdf_21029587bbfd3216117dc86f4e9abb7c_33d7d947dadadd2549cfaa8913debdc97435586323380958&action=openDetailDrawer&webFrom=10000171,抖音监测期2.9-2.15;弱溯源URL，降级D档参考
平台,热门城市机酒火预订同比,30,%,增长率,2024-02-10~2024-02-17,8天,同程自披露口径,平台自披露,平台自披露,实际,同比,8,增长率,2026-08-21,,同程旅行,2024春节假期旅行消费报告,2024-02-17,C,http://finance.chinadevelopment.com.cn/hy/wy/2024/02/1882422.shtml,机票/火车票/酒店预订同比涨幅均超3成;该平台自身口径
平台,美团哈尔滨文旅在线消费规模日均同比,130.2,%,增长率,2024-02-10~2024-02-17,8天,美团自披露口径,平台自披露,平台自披露,实际,同比,8,增长率,2026-08-21,,美团(央广网转引),哈尔滨冰雪游再创新高,2024-02-19,C,https://www.cnr.cn/hlj/hljyw/20240219/t20240219_526598818.shtml,哈尔滨文旅在线消费规模东北第一
平台,邮轮游预订量同比,445,%,增长率,2024-02-10~2024-02-17,8天,飞猪自披露口径,平台自披露,平台自披露,实际,同比,8,增长率,2026-08-21,,飞猪(新浪看点转引),2024春节假期出游快报,2024-02-17,C,https://k.sina.cn/article_5044281310_12ca99fde020023gng.html,含国内/国际邮轮
