主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
交通出行,全社会跨区域人员流动量,63761.6,万人次,人次,2024-06-08~2024-06-10,3天,3天口径v1.0,公路人员流动量,官方跨区域(含自驾),实际,较2019,3,水平值,2026-08-21,,交通运输部(央广网转引),端午假期出行数据,2024-06-11,A,https://news.cnr.cn/dj/20240611/t20240611_526740083.shtml,日均21253.9万;较2019+16.6%;较2023+9.4%;含自驾小客车
交通出行,公路人员流动量(分项),本期暂无公开数据,定性,定性,2024-06-08~2024-06-10,3天,3天口径v1.0,公路人员流动量,待核,实际,无(水平值),3,定性,2026-08-21,全国总量缺项,交通运输部,端午假期出行数据(未披露分项),2024-06-11,D,,2024端午交通运输部分项(公路/水路)未检索到权威披露
交通出行,国际客运航班量恢复率(较2019),75,%,百分比,2024-06-08~2024-06-10,3天,3天口径v1.0,民航客运量,行业协会计,实际,较2019,3,水平值,2026-08-21,,机构(中国网转引),机构:端午假期国际客运航班量约恢复至2019年的75%,2024-06-03,C,https://travel.china.com.cn/txt/2024-06/03/content_117230381.shtml,约恢复至2019的75%;机构测算
交通出行,民航保障旅客(机构预计),540,万人次,人次,2024-06-08~2024-06-10,3天,3天口径v1.0,民航客运量,行业协会计,预计,无(水平值),3,水平值,2026-08-21,预判待回填,"机构(航班管家等,中国网转引)",机构:端午全民航预计保障旅客超540万人次,2024-06-03,C,https://travel.china.com.cn/txt/2024-06/03/content_117230381.shtml,机构预计超540万;非实测;与官方口径并列
交通出行,民航日均发送旅客(官方预计),200,万人次/天,日度,2024-06-08~2024-06-10,3天,3天口径v1.0,民航客运量,官方总量,预计,无(水平值),3,水平值,2026-08-21,预判待回填,中国民航局(网易转引),端午假期全民航预计日均发送旅客超200万人次,2024-06-07,B,https://www.163.com/dy/article/J3I7ILHF053469LG.html,官方预计日均超200万
交通出行,水路发送旅客(分项),本期暂无公开数据,定性,定性,2024-06-08~2024-06-10,3天,3天口径v1.0,水路客运量,待核,实际,无(水平值),3,定性,2026-08-21,全国总量缺项,交通运输部,端午假期出行数据(未披露分项),2024-06-11,D,,同上;2023端午水路253万(历史基线)供参照
交通出行,边检口岸日均出入境人员(官方预计),175,万人次/天,日度,2024-06-08~2024-06-10,3天,3天口径v1.0,官方边检,官方总量,预计,无(水平值),3,水平值,2026-08-21,预判待回填,国家移民管理局(36氪转引),端午假期全国口岸日均出入境人员将达175万人次,2024-06-06,A,https://www.36kr.com/newsflashes/2807635228030598,"官方预计""将达175万人次"";免签扩容驱动;非实测"
交通出行,铁路发送旅客,4604.7,万人次,人次,2024-06-08~2024-06-10,3天,3天口径v1.0,铁路客运量,官方营业性(不含自驾),实际,较2019,3,水平值,2026-08-21,,交通运输部(央广网转引),端午假期出行数据,2024-06-11,A,https://news.cnr.cn/dj/20240611/t20240611_526740083.shtml,日均1534.9万;较2019+18.6%;较2023+5.1%;营业性口径不含自驾
平台渠道,入境游预订量同比,115,%,百分比,2024-06-08~2024-06-10,3天,3天口径v1.0,平台GMV,平台自披露,实际,同比,3,水平值,2026-08-21,,平台综合(搜狐/上观转引),端午特辑 新中式旅游风行 入境游预订量同比增长115%,2024-06-10,C,https://www.sohu.com/a/785039796_121255906,转述性概括;平台自身口径
平台渠道,兰州预订单量同比,79,%,百分比,2024-06-08~2024-06-10,3天,3天口径v1.0,平台GMV,平台自披露,实际,同比,3,水平值,2026-08-21,,携程(腾讯新闻转引),携程发布2024年端午假期出游趋势,2024-05-28,C,https://news.qq.com/rain/a/20240528A068I800,该平台自身口径
