主题,数据点,数值,单位,来源机构,报告/资料名,发布时间,可信度等级,URL,备注,假期天数,口径类型,基期,统计窗口,数值类型,采集日期,缺口标记
总体,2025春节国内出游人次,5.01,亿人次,文化和旅游部,2025年春节假期文化和旅游市场情况,2025-02-05,A,https://www.mct.gov.cn/whzx/whyw/202502/t20250205_958229.htm,同比+5.9%；假期8天,8,官方总量,同比,8天,增长率,2025-02-24,
总体,2025春节国内出游总花费,6770.02,亿元,文化和旅游部,2025年春节假期文化和旅游市场情况,2025-02-05,A,https://www.mct.gov.cn/whzx/whyw/202502/t20250205_958229.htm,同比+7.0%,8,官方总量,同比,8天,增长率,2025-02-24,
总体,春节客单价（测算）,1351,元/人次,方正证券(基于文旅部数据测算),25年春节假期出游客单价测算,2025-02,C,https://www.foundersc.com/infoResearchMacro/8654069.jhtml,测算=6770.02亿/5.01亿；同比+1.0%,8,测算,同比,8天,增长率,2025-02-24,
交通,铁路春运累计发送旅客,5.13,亿人次,中国国家铁路集团,2025年铁路春运收官,2025-02-24,A,http://www.china-railway.com.cn/xwzx/mtjj/xhs/xhw/202503/t20250306_143416.html,同比+6.1%；40天(1.14-2.22),8,官方跨区域(含自驾),累计(窗口内),8天,增长率,2025-02-24,
交通,民航春节假期运输旅客,1824,万人次,中国民航局,2025年春节假期全国民航运输旅客,2025-02-05,A,https://www.caac.gov.cn/big5/www.caac.gov.cn/XWZX/MHYW/202502/t20250205_226608.html,同比+2.9%(vs2024春运同期)；航班14.5万班,8,官方跨区域(含自驾),同比,8天,增长率,2025-02-24,
交通,全社会跨区域人员流动量,23.07,亿人次,综合运输春运工作专班(新华网转引),旅游市场火爆开局,2025-02,B,https://app.xinhuanet.com/news/article.html?articleId=9ad80d3b71da66dc303f456d69dc8d79,"另版表述""超23亿""",8,官方跨区域(含自驾),无(水平值),8天,水平值,2025-02-24,
交通,公路人员流动量,218293,万人次,综合运输春运专班(21世纪经济报道转引),5亿人次出游盛宴落幕酒店业如何分羹,2025-02-10,B,https://www.21jingji.com/article/20250210/herald/a3d9053f8069055c753dd25e5dc9e40d.html,铁路9626万/水路941.3万/民航1824.15万口径,8,官方跨区域(含自驾),无(水平值),8天,水平值,2025-02-24,
交通,高速公路小客车免费通行天数,8,天,交通运输部/中国政府网,2025年春节假期小客车上高速继续免收通行费,2025-01-21,A,https://www.gov.cn/zhengce/jiedu/tujie/202501/content_7000234.htm,1.28(除夕)00:00-2.4(初七)24:00,8,官方跨区域(含自驾),无(水平值),8天,水平值,2025-02-24,
交通,春节假期快递揽收投递,19.27,亿件,国家邮政局(新华社转引),新市面折射中国经济新活力,2025-02-13,B,https://sfj.sh.gov.cn/2020zwdt_qwsy/20250214/1d24d897010a42edb721d519b077503d.html,1.28-2.4；揽收+31%/投递+26.7%,8,官方跨区域(含自驾),无(水平值),8天,水平值,2025-02-24,
支付,银联网联春节支付交易金额,9.78,万亿元,中国人民银行(人民日报电子版转引),春节假期支付交易,2025-02-05,B,https://ima.qq.com/wiki/?shareId=ab8947151c3867268f1fcf543723d41a650e29e5e7003ef1c86151ea675e3550&mediaId=pdf_b62ce8102d511ec543f77edf1c75d45c_b526bd6d95186256f92244b7f425010b7374019858797019&action=openDetailDrawer&webFrom=10000171,笔数254.16亿笔+24.50%；境外来华+90.49%,8,官方总量,无(水平值),8天,水平值,2025-02-24,
消费,重点零售和餐饮企业销售额,4.1,%(同比),商务部,商务部例行新闻发布会(2025-02-06),2025-02-06,A,https://www.mofcom.gov.cn/xwfbzt/2025/swbzklxxwfbh2025n2y6r/,商务部商务大数据监测；平稳开局,8,官方总量,无(水平值),8天,水平值,2025-02-24,
消费,重点监测餐饮企业营业额,6.2,%(同比),商务部,商务部例行新闻发布会,2025-02-06,A,https://www.mofcom.gov.cn/xwfbzt/2025/swbzklxxwfbh2025n2y6r/,聚餐需求集中释放,8,官方重点监测,无(水平值),8天,水平值,2025-02-24,
消费,重点监测零售企业家电通讯器材销售额,10,%(以上同比),商务部,商务部例行新闻发布会,2025-02-06,A,https://www.mofcom.gov.cn/xwfbzt/2025/swbzklxxwfbh2025n2y6r/,绿色智能家电/手机平板热销,8,官方重点监测,无(水平值),8天,水平值,2025-02-24,
消费,春节档电影票房,95.1,亿元,商务部/灯塔专业版(新华社转引),商务部新闻发布会,2025-02-06,A,https://www.mofcom.gov.cn/xwfbzt/2025/swbzklxxwfbh2025n2y6r/,创历史新高,8,官方总量,无(水平值),8天,水平值,2025-02-24,
新消费,消费相关行业日均销售收入,10.8,%(同比),国家税务总局(增值税发票数据),春节假期消费市场亮点多活力足,2025-02-06,A,https://www.chinatax.gov.cn/chinatax/n810219/n810780/c5238192/content.html,商品+9.9%/服务+12.3%,8,官方总量,无(水平值),8天,水平值,2025-02-24,
新消费,家电和音像器材销售收入,166.4,%(同比),国家税务总局,春节假期消费市场亮点多活力足,2025-02-06,A,https://www.chinatax.gov.cn/chinatax/n810219/n810780/c5238192/content.html,以旧换新政策带动；电视+226.8%,8,官方总量,无(水平值),8天,水平值,2025-02-24,
新消费,通讯器材销售收入,181.9,%(同比),国家税务总局,春节假期消费市场亮点多活力足,2025-02-06,A,https://www.chinatax.gov.cn/chinatax/n810219/n810780/c5238192/content.html,手机智能手表购新补贴,8,官方总量,无(水平值),8天,水平值,2025-02-24,
新消费,旅游相关服务销售收入,37.5,%(同比),国家税务总局,春节假期消费市场亮点多活力足,2025-02-06,A,https://www.chinatax.gov.cn/chinatax/n810219/n810780/c5238192/content.html,首个世界非遗版春节,8,官方总量,无(水平值),8天,水平值,2025-02-24,
新消费,体育健身服务销售收入,224.1,%(同比),国家税务总局,春节假期消费市场亮点多活力足,2025-02-06,A,https://www.chinatax.gov.cn/chinatax/n810219/n810780/c5238192/content.html,体育场馆+135%,8,官方总量,无(水平值),8天,水平值,2025-02-24,
新消费,非遗游热度,40,%(以上同比),飞猪(新华社转引),新市面折射中国经济新活力,2025-02-13,B,https://sfj.sh.gov.cn/2020zwdt_qwsy/20250214/1d24d897010a42edb721d519b077503d.html,民俗表演旅游消费+36%,8,平台自披露,无(水平值),8天,水平值,2025-02-24,
酒店,样本酒店平均入住率,49.7,%,酒店之家(方正证券研报转引),25年春节出行消费跟踪,2025-02,C,https://www.foundersc.com/infoResearchMacro/8654069.jhtml,同比-3.7pct；8天样本,8,平台自披露,同比,8天,增长率,2025-02-24,
酒店,样本酒店平均房价ADR,287.7,元,酒店之家(方正证券研报转引),25年春节出行消费跟踪,2025-02,C,https://www.foundersc.com/infoResearchMacro/8654069.jhtml,同比-2.6%；降幅收窄,8,平台自披露,同比,8天,增长率,2025-02-24,
酒店,华住集团假期接待人次,832.58,万人次,华住集团(21世纪经济报道转引),5亿人次出游盛宴落幕,2025-02-10,C,https://www.21jingji.com/article/20250210/herald/a3d9053f8069055c753dd25e5dc9e40d.html,同比+18.6%；74城入住率超90%,8,待核,同比,8天,增长率,2025-02-24,
酒店,县城酒店预订量,40,%(以上同比),去哪儿(21世纪经济报道转引),5亿人次出游盛宴落幕,2025-02-10,C,https://www.21jingji.com/article/20250210/herald/a3d9053f8069055c753dd25e5dc9e40d.html,县域市场成新增长点；高星县城酒店翻番,8,平台自披露,无(水平值),8天,增长率,2025-02-24,
景区,峨眉山景区接待游客,38.75,万人次,峨眉山/四川经济网(国金证券转引),2025年春节各景区跟踪,2025-02,C,https://ima.qq.com/wiki/?shareId=a0ff49161357bd4541252febac6d07d94b587db20568088ac9f985e4178ed681&mediaId=pdf_21029587bbfd3216117dc86f4e9abb7c_6173d9699f6b50215af4e40f14c6413a7419228206421351&action=openDetailDrawer&webFrom=10000171,同比+4.01%；门票2726.8万元,8,待核,同比,8天,增长率,2025-02-24,
景区,黄山景区接待游客,20.6,万人次,安徽省文旅厅(国金证券转引),2025年春节各景区跟踪,2025-02,C,https://ima.qq.com/wiki/?shareId=a0ff49161357bd4541252febac6d07d94b587db20568088ac9f985e4178ed681&mediaId=pdf_21029587bbfd3216117dc86f4e9abb7c_6173d9699f6b50215af4e40f14c6413a7419228206421351&action=openDetailDrawer&webFrom=10000171,与2024春节8天20.8万基本持平,8,待核,无(水平值),8天,水平值,2025-02-24,
景区,九华山景区接待游客,47.2,万人次,安徽省文旅厅(国金证券转引),2025年春节各景区跟踪,2025-02,C,https://ima.qq.com/wiki/?shareId=a0ff49161357bd4541252febac6d07d94b587db20568088ac9f985e4178ed681&mediaId=pdf_21029587bbfd3216117dc86f4e9abb7c_6173d9699f6b50215af4e40f14c6413a7419228206421351&action=openDetailDrawer&webFrom=10000171,年初五近最大承载量,8,待核,无(水平值),8天,水平值,2025-02-24,
景区,长白山全域接待国内游客,46.51,万人次,长白山管委会(银联商务测算),2025年春节各景区跟踪,2025-02,C,https://ima.qq.com/wiki/?shareId=a0ff49161357bd4541252febac6d07d94b587db20568088ac9f985e4178ed681&mediaId=pdf_21029587bbfd3216117dc86f4e9abb7c_6173d9699f6b50215af4e40f14c6413a7419228206421351&action=openDetailDrawer&webFrom=10000171,同比+41.67%；景区7.57万基本持平,8,测算,同比,8天,增长率,2025-02-24,
景区,宋城演艺千古情演出,550,场,宋城演艺(国金证券转引),2025年春节各景区跟踪,2025-02,C,https://ima.qq.com/wiki/?shareId=a0ff49161357bd4541252febac6d07d94b587db20568088ac9f985e4178ed681&mediaId=pdf_21029587bbfd3216117dc86f4e9abb7c_6173d9699f6b50215af4e40f14c6413a7419228206421351&action=openDetailDrawer&webFrom=10000171,全国12大；单日最高91场,8,待核,无(水平值),8天,水平值,2025-02-24,
景区,西湖景区初六接待,63.04,万人次,西湖景区(新华网转引),旅游市场火爆开局,2025-02,B,https://app.xinhuanet.com/news/article.html?articleId=9ad80d3b71da66dc303f456d69dc8d79,同比+45%,8,官方总量,同比,8天,增长率,2025-02-24,
跨境,春节入境游客,343.21,万人次,国家移民管理局/携程(方正证券转引),25年春节出行消费跟踪,2025-02,C,https://www.foundersc.com/infoResearchMacro/8654069.jhtml,同比+6.2%；外国69.95万/港澳台273.26万,8,平台自披露,同比,8天,增长率,2025-02-24,
跨境,春节出境旅游者,378.38,万人次,携程/国家移民管理局(方正证券转引),25年春节出行消费跟踪,2025-02,C,https://www.foundersc.com/infoResearchMacro/8654069.jhtml,同比+5.2%；出国90.76万,8,平台自披露,同比,8天,增长率,2025-02-24,
跨境,全国口岸出入境人员,1436.6,万人次,国家移民管理局(中国证券报转引),非遗春节全球圈粉跨境游量质齐升,2025-02-06,B,https://www.cs.com.cn/xwzx/hg/202502/t20250206_6472541.html,同比+6.3%；外国人95.8万+22.9%,8,待核,同比,8天,增长率,2025-02-24,
跨境,携程入境游订单,203,%(同比),携程(中国证券报转引),非遗春节全球圈粉,2025-02-06,C,https://www.cs.com.cn/xwzx/hg/202502/t20250206_6472541.html,外国游客同比+1.5倍；门票+7.5倍,8,平台自披露,同比,8天,增长率,2025-02-24,
跨境,携程跨境游整体订单,30,%(以上同比),携程(重庆日报转引),China Travel升级为Chinese New Year,2025-02-04,C,https://cqrb.cn/wenlv/shangyou/2025-02-04/2166884_pc.html,入境门票+180%/酒店+6成,8,平台自披露,无(水平值),8天,水平值,2025-02-24,
跨境,海南离岛免税购物金额,20.94,亿元,海口海关(方正证券转引),25年春节出行消费跟踪,2025-02,C,https://www.foundersc.com/infoResearchMacro/8654069.jhtml,同比-16%；人次24.05万-19%；人均8706元+4%,8,待核,同比,8天,增长率,2025-02-24,
