检索关键词,检索时间,标题,来源机构,报告/资料名,发布时间,URL,内容摘要,快照路径,层(layer),状态,观测批次,同源复用
2025 五一 出游,2026-08-28-R1,国内出游人数 = 3.14亿人次,文化和旅游部,2025年五一假期文化和旅游市场情况,2025,https://www.mct.gov.cn:10443/whzx/whyw/202505/t20250506_959793.htm,文旅部：2025五一国内出游3.14亿人次(+6.4%),snapshots/文化和旅游部_国内出游人数.html,L1,入库L1,R1,否
2025 五一 收入,2026-08-28-R1,国内游客出游总花费 = 1802.69亿元,文化和旅游部,2025年五一假期文化和旅游市场情况,2025,https://www.mct.gov.cn:10443/whzx/whyw/202505/t20250506_959793.htm,文旅部：2025五一国内游客出游总花费1802.69亿元(+8.0%),snapshots/文化和旅游部_国内游客出游总花费.html,L1,入库L1,R1,否
2025 五一 2019 B组,2026-08-28-R1,五一出游较2019年增幅 = 7.9%,中银证券,2025年五一旅游数据点评,2025,https://pdf.dfcfw.com/pdf/H3_AP202505071668851935_1.pdf?1746626169000.pdf,中银证券：2025五一跨区域流动较2024年+7.9%,snapshots/中银证券_五一出游较2019年增幅.html,L1,入库L1,R1,否
2025 五一 流动,2026-08-28-R1,全社会跨区域人员流动量 = 146594万人次,交通运输部,2025年五一假期交通运输数据,2025,https://www.gov.cn/lianbo/bumen/202505/content_7022596.htm,交通运输部：2025五一跨区域流动146594万人次(+7.9%),snapshots/交通运输部_全社会跨区域人员流动量.html,L1,入库L1,R1,否
2025 五一 铁路,2026-08-28-R1,铁路客运量 = 10170万人次,国铁集团,2025年五一假期铁路数据,2025,https://www.gov.cn/lianbo/bumen/202505/content_7022596.htm,国铁集团：2025五一铁路客运量10170万人次(+10.8%),snapshots/国铁集团_铁路客运量.html,L1,入库L1,R1,否
2025 五一 民航,2026-08-28-R1,民航客运量 = 1115万人次,民航局,2025年五一假期民航数据,2025,https://www.gov.cn/lianbo/bumen/202505/content_7022596.htm,民航局：2025五一民航客运量1115万人次(+11.8%),snapshots/民航局_民航客运量.html,L1,入库L1,R1,否
2025 五一 水路,2026-08-28-R1,水路客运量 = 861万人次,交通运输部,2025年五一假期交通运输数据,2025,https://www.gov.cn/lianbo/bumen/202505/content_7022596.htm,交通运输部：2025五一水路客运量861万人次(+23.8%),snapshots/交通运输部_水路客运量.html,L1,入库L1,R1,否
2025 五一 社零,2026-08-28-R1,全国重点零售和餐饮企业销售额增速 = 6.3%,商务部,商务部2025年五一消费数据,2025,https://www.gov.cn/lianbo/bumen/202505/content_7022453.htm,商务部：2025五一全国重点零售和餐饮企业销售额+6.3%,snapshots/商务部_全国重点零售和餐饮企业销售额增速.html,L1,入库L1,R1,否
2025 五一 税务,2026-08-28-R1,消费相关行业销售收入增速 = 15.2%,国家税务总局,2025年五一假期增值税发票数据,2025,http://news.cnr.cn/native/gd/20250508/t20250508_527162754.shtml,税务总局：2025五一消费相关行业销售收入+15.2%,snapshots/国家税务总局_消费相关行业销售收入增速.html,L1,入库L1,R1,否
2025 五一 演出,2026-08-28-R1,全国营业性演出场次 = 3.35万场,中国演出行业协会,2025年五一演出市场数据,2025,https://www.cnr.cn/news/20250507/t20250507_527161033.shtml,中国演出行业协会：2025五一营业性演出3.35万场，票房21.59亿元,snapshots/中国演出行业协会_全国营业性演出场次.html,L1,入库L1,R1,否
