检索关键词,检索时间,标题,来源机构,报告/资料名,发布时间,URL,内容摘要,快照路径,层(layer),状态,观测批次,同源复用
2025 十一 出游,2026-08-28-R1,国庆中秋假期国内出游 = 8.88亿人次,文化和旅游部,2025年国庆中秋假期文旅数据,2025,https://www.mct.gov.cn/wlbphone/wlbydd/xxfb/jiaodianxinwen/202510/t20251009_962532.html,文旅部：2025国庆中秋假期国内出游8.88亿人次,snapshots/文化和旅游部_国庆中秋假期国内出游.html,L1,入库L1,R1,否
2025 十一 收入,2026-08-28-R1,国庆中秋假期国内出游总花费 = 8090.06亿元,文化和旅游部,2025年国庆中秋假期文旅数据,2025,https://www.gov.cn/lianbo/bumen/202510/content_7043739.htm,文旅部：2025国庆中秋假期国内出游总花费8090.06亿元,snapshots/文化和旅游部_国庆中秋假期国内出游总花费.html,L1,入库L1,R1,否
2025 十一 流动,2026-08-28-R1,国庆中秋假期全社会跨区域流动量 = 24.33亿人次,交通运输部,2025年国庆中秋交通数据,2025,https://www.gov.cn/zhengce/jiedu/tujie/202510/content_7043725.htm,交通运输部：2025国庆中秋跨区域流动24.33亿人次(+6.3%)创新高,snapshots/交通运输部_国庆中秋假期全社会跨区域流动量.html,L1,入库L1,R1,否
2025 十一 铁路,2026-08-28-R1,国庆中秋假期铁路客运量 = 15396万人次,国铁集团,2025年国庆中秋交通数据,2025,https://www.ce.cn/cysc/newmain/yc/jsxw/202510/t20251009_2506680.shtml,交通运输部：2025国庆中秋铁路客运量15396万人次(+2.6%),snapshots/国铁集团_国庆中秋假期铁路客运量.html,L1,入库L1,R1,否
2025 十一 民航,2026-08-28-R1,国庆中秋假期民航客运量 = 1917万人次,交通运输部,2025年国庆中秋交通数据,2025,https://www.gov.cn/lianbo/bumen/202510/content_7043688.htm,交通运输部：2025国庆中秋民航客运量1917万人次(+3.4%),snapshots/交通运输部_国庆中秋假期民航客运量.html,L1,入库L1,R1,否
2025 十一 商务部,2026-08-28-R1,国庆中秋重点零售餐饮销售额增速 = 2.7%,商务部,2025年国庆中秋消费市场数据,2025,https://www.gov.cn/lianbo/bumen/202510/content_7043739.htm,商务部：2025国庆中秋重点零售餐饮销售额+2.7%,snapshots/商务部_国庆中秋重点零售餐饮销售额增速.html,L1,入库L1,R1,否
2025 十一 税务,2026-08-28-R1,国庆中秋消费相关行业日均销售收入增速 = 4.5%,国家税务总局,2025年国庆中秋增值税发票数据,2025,https://news.cctv.com/2025/10/09/ARTIJVcbhf0xUSu83OmCvXxp251009.shtml,税务总局：2025国庆中秋消费相关行业日均销售收入+4.5%,snapshots/国家税务总局_国庆中秋消费相关行业日均销售收入.html,L1,入库L1,R1,否
2025 十一 票房,2026-08-28-R1,国庆档电影票房 = 18.35亿元,国家电影局,2025年国庆档电影数据,2025,http://www.news.cn/ci/20251010/6bad4d931db042e780d23534273bd47d/c.html,国家电影局：2025国庆档票房18.35亿元,snapshots/国家电影局_国庆档电影票房.html,L1,入库L1,R1,否
2025 十一 支付,2026-08-28-R1,国庆中秋银联网联支付交易笔数 = 415.52亿笔,银联/网联/中国人民银行,2025年国庆中秋支付清算数据,2025,http://paper.people.com.cn/rmrbhwb/pad/content/202510/10/content_30108557.html,央行：2025国庆中秋银联网联处理支付交易415.52亿笔/13.26万亿元,snapshots/银联_网联_中国人民银行_国庆中秋银联网联支付交易笔数.html,L1,入库L1,R1,否
2025 十一 支付金额,2026-08-28-R1,国庆中秋银联网联支付交易金额 = 13.26万亿元,银联/网联/中国人民银行,2025年国庆中秋支付清算数据,2025,https://www.kunming.cn/news/c/2025-10-13/13985504.shtml,央行：2025国庆中秋银联网联支付交易金额13.26万亿元,snapshots/银联_网联_中国人民银行_国庆中秋银联网联支付交易金额.html,L1,入库L1,R1,否
