主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
交通出行,上半年外国人出入境人数,3805.3,万人次,水平值,2025-01-01~2025-06-30,上半年,国家移民管理局边检口径,官方边检,官方总量,实际,同比,181,增长率,2026-08-21,,国家移民管理局(中国网转引),2025年上半年外国人出入境数据,2025-07,A,http://m.toutiao.com/group/7537877172422181426/,上半年外国人入出境3805.3万人次，同比+30.2%；其中免签入境1364万人次(+53.9%)；累计上半年口径非暑期专口径
交通出行,全社会跨区域人员流动量,119,亿人次,水平值,2025-07-01~2025-08-31,暑运62天,暑假62天口径v1.0,公路人员流动量,官方跨区域(含自驾),实际,同比,62,水平值,2026-08-21,,交通运输部(财经网转引),2025年暑运降本收官数据,2025-09-01,A,https://m.toutiao.com/group/7545723845630624271/,暑运(7/1-8/31)全社会跨区域人员流动量119亿人次，日均1.92亿，同比+4.3%；含自驾，与铁民水公共客运量口径不同不可加总
交通出行,全社会跨区域人员流动量日均,1.92,亿人次/天,日度,2025-07-01~2025-08-31,暑运62天,暑假62天口径v1.0,公路人员流动量,官方跨区域(含自驾),实际,同比,62,水平值,2026-08-21,,交通运输部(财经网转引),2025年暑运数据,2025-09-01,A,https://m.toutiao.com/group/7545723845630624271/,官方披露日均1.92亿人次/天；2024年同期日均1.76亿/天，同比+9%量级
交通出行,公路人员流动量(含自驾),87,亿人次,水平值,2025-07-01~2025-08-31,暑运62天,暑假62天口径v1.0,公路人员流动量,官方跨区域(含自驾),实际,同比,62,水平值,2026-08-21,含推算成分,交通运输部(财经网转引),2025年暑运数据,2025-09-01,A,https://m.toutiao.com/group/7545723845630624271/,公路自驾出行占比约73%、达87亿人次(官方推算)；含自驾，与铁/民公共客运量口径不同不可加总
交通出行,国家铁路货物发送量,7.02,亿吨,水平值,2025-07-01~2025-08-31,暑运62天,暑假62天口径v1.0,铁路货运量,官方营业性,实际,同比,62,水平值,2026-08-21,,国铁集团(央视网),2025年铁路暑运圆满收官,2025-09-01,A,https://news.cctv.cn/2025/09/01/ARTIOFNcbmVUTnzKWZoN9IEP250901.shtml,国家铁路累计发送货物7.02亿吨，同比+4.8%，客货运量均创历史同期新高
交通出行,民航运输旅客,1.47,亿人次,水平值,2025-07-01~2025-08-31,暑运62天,暑假62天口径v1.0,民航客运量,官方营业性(不含自驾),实际,同比,62,水平值,2026-08-21,,中国民用航空局(央广网),2025年暑运民航数据,2025-09-02,A,http://china.cnr.cn/news/20250902/t20250902_527349992.shtml,暑运全国民航累计运输旅客1.47亿人次，日均237万人次，创历史同期新高；营业性客运口径
交通出行,铁路发送旅客,9.43,亿人次,水平值,2025-07-01~2025-08-31,暑运62天,暑假62天口径v1.0,铁路客运量,官方营业性(不含自驾),实际,同比,62,水平值,2026-08-21,,国铁集团(央视网),2025年铁路暑运圆满收官,2025-09-01,A,https://news.cctv.cn/2025/09/01/ARTIOFNcbmVUTnzKWZoN9IEP250901.shtml,暑运铁路累计发送旅客9.43亿人次，同比+4.7%，首次突破9亿、创历史同期新高；营业性客运口径不含自驾
总体,"出游人次日均(测算,62天)",0.403,亿人次/天,日度,2025-06-01~2025-08-31,6-8月合计,暑假62天口径v1.0,实测可比监测,测算,推算,无(水平值),62,水平值,2026-08-21,推算,本报告推算,派生测算值,2026-08-21,D,http://yn.people.com.cn/n2/2025/0811/c372455-41318429.html,=25/62天(暑假62天口径)；D级推算；研究院监测口径为6-8月92天，本行窗按62天折算，与2024跨年对比须注意口径差异
总体,国内旅游出游人次,25,亿人次,水平值,2025-06-01~2025-08-31,6-8月合计,暑期6-8月监测口径v1.0,实测可比监测,测算,推算,无(预测口径),92,水平值,2026-08-21,预测口径未回填,中国旅游研究院(人民网转引),2025年暑期旅游监测与预测,2025-08-11,D,http://yn.people.com.cn/n2/2025/0811/c372455-41318429.html,研究院监测预测‘暑期国内旅游有望突破25亿人次’，达历史新高的预测口径；2024年同口径19.49亿(+6.0%)；最终核定数待回填
总体,国民整体暑期消费规模(预测),1.8,万亿元,水平值,2025-06-01~2025-08-31,6-8月合计,暑期6-8月监测口径v1.0,实测可比监测,测算,推算,无(预测口径),92,水平值,2026-08-21,预测口径未回填,中国旅游研究院(人民网转引),2025年暑期旅游监测与预测,2025-08-11,D,http://yn.people.com.cn/n2/2025/0811/c372455-41318429.html,‘暑期国民整体消费规模预计达1.8万亿元’，为研究院预测口径；与商务部社零口径家族不同不可相加
政策与宏观,1-8月社会消费品零售总额,323906,亿元,水平值,2025-01-01~2025-08-31,1-8月累计,国家统计局累计口径,商务部社零,官方总量,实际,累计年初至今,243,水平值,2026-08-21,,国家统计局(中国政府网),2025年8月份社会消费品零售总额增长3.4%,2025-09-15,A,https://www.gov.cn/lianbo/bumen/202509/content_7040707.htm,1-8月社零323906亿元，同比+4.6%；累计口径非单假期
政策与宏观,240小时过境免签适用国家数,55,个,水平值,2025-06-12~2025-08-19,6/12起,国家移民管理局边检口径,官方政策,官方总量,实际,无(水平值),68,水平值,2026-08-21,,国家移民管理局(中新网/人民网),240小时过境免签政策适用国家扩至55国,2025-06-12,A,http://m.chinanews.com/wap/detail/chs/zw/10430720.shtml,2025年6月12日起印尼加入，240小时过境免签适用国家增至55国，辐射暑期入境游
政策与宏观,240小时过境免签适用国家数(更新),57,个,水平值,2025-08-20~2025-08-31,8/20起,国家移民管理局边检口径,官方政策,官方总量,实际,无(水平值),12,水平值,2026-08-21,,国家移民管理局(北京日报),240小时过境免签适用国家扩至57国,2025-08-20,A,http://m.toutiao.com/group/7676091492095509035/,8月20日增至57国，同时海南30天入境免签适用国家扩至61国；叠加暑期入境游
政策与宏观,8月商品零售额同比,3.6,%,增长率,2025-08-01~2025-08-31,8月单月,商务部商务大数据口径,官方重点监测,官方总量,实际,同比,31,增长率,2026-08-21,,商务部(央视网),2025年8月份消费市场情况,2025-09-23,A,https://news.cctv.cn/2025/09/23/ARTIjb7llk2Z49kLAVehh0Et250923.shtml,8月商品零售额同比+3.6%，以旧换新相关商品销售保持较快增长；与旅游总花费分列不可相加
政策与宏观,8月社会消费品零售总额,39668,亿元,水平值,2025-08-01~2025-08-31,8月单月,国家统计局月度口径,商务部社零,官方总量,实际,同比,31,水平值,2026-08-21,,国家统计局(中国政府网),2025年8月份社会消费品零售总额增长3.4%,2025-09-15,A,https://www.gov.cn/lianbo/bumen/202509/content_7040707.htm,8月社零39668亿元，同比+3.4%；与旅游总花费口径不同不可相加
政策与宏观,上半年免签入境外国人,1364,万人次,水平值,2025-01-01~2025-06-30,上半年,国家移民管理局边检口径,官方边检,官方总量,实际,同比,181,增长率,2026-08-21,,国家移民管理局(中国网转引),2025年上半年外国人入出境数据,2025-07,A,http://m.toutiao.com/group/7537877172422181426/,上半年免签入境外国人1364万人次，占入境外国人71.2%，同比+53.9%；上半年累计口径
政策与宏观,全年入出境外国人(全年口径),8203.5,万人次,水平值,2025-01-01~2025-12-31,全年,国家移民管理局边检口径,官方边检,官方总量,实际,同比,365,增长率,2026-08-21,,国家移民管理局(央视网),2025年出入境人数创新高,2026-01-28,A,https://news.cctv.cn/2026/01/28/ARTIZzMHikVmpr4tfSM4ypaC260128.shtml,2025年全年入出境外国人8203.5万人次，同比+26.4%；免签入境3008万人次；全年口径，作为暑期入境游大背景参照
政策与宏观,国庆假期国内旅游出游人次(预测),7.3,亿人次,水平值,2025-10-01~2025-10-08,国庆8天口径,预测台账口径v1.0,客流人次,测算,预计,同比,8,水平值,2026-08-21,预判待回填,本报告推算(基于暑运高位+免签扩容),2025暑期报告预测台账,2026-08-21,D,http://yn.people.com.cn/n2/2025/0811/c372455-41318429.html,预测ID=2025国庆-F01；中心值7.3亿(区间6.9-7.8亿)，置信度中；预测不得当实测，待国庆结束回填
政策与宏观,国庆假期国内旅游总花费(预测),6100,亿元,水平值,2025-10-01~2025-10-08,国庆8天口径,预测台账口径v1.0,旅游总花费,测算,预计,同比,8,水平值,2026-08-21,预判待回填,本报告推算,2025暑期报告预测台账,2026-08-21,D,http://yn.people.com.cn/n2/2025/0811/c372455-41318429.html,预测ID=2025国庆-F02；中心值6100亿(区间5700-6500亿)，置信度中低；为预测台账输入
政策与宏观,暑期文化和旅游消费季消费补贴,5.7,亿元,水平值,2025-07-01~2025-08-31,7-8月,文旅部暑期消费季口径,官方总量,官方总量,实际,无(水平值),62,水平值,2026-08-21,,文化和旅游部(人民网转引),2025年全国暑期文化和旅游消费季,2025-08-11,A,http://yn.people.com.cn/n2/2025/0811/c372455-41318429.html,文旅部7-8月推出全国暑期文化和旅游消费季，发放超5.7亿元消费补贴，释放文旅消费潜力
新消费,暑期全国营业性演出场次,12.63,万场,水平值,2025-07-01~2025-08-31,7-8月,中国演出行业协会监测口径,行业协会计,行业协会计,实际,同比,62,增长率,2026-08-21,,中国演出行业协会(光明网),2025年暑期演出市场数据,2025-09-17,C,https://news.gmw.cn/2025-09/17/content_38290329.htm,暑期(7-8月)全国营业性演出(不含娱乐场所)12.63万场，同比+4.18%
新消费,暑期档电影票房,119.66,亿元,水平值,2025-06-01~2025-08-31,暑期档(6-8月),暑期档口径,官方总量,官方总量,实际,同比,92,增长率,2026-08-21,,国家电影局(中国电影报),2025年暑期档电影市场数据,2025-09-04,A,https://www.chinafilm.gov.cn/xwzx/gzdt/202509/t20250904_928990.html,暑期档票房119.66亿元，同比+2.76%；国产影片占比76.21%；票房前5：《南京照相馆》28.9亿等
新消费,暑期档观影人次,3.21,亿人次,水平值,2025-06-01~2025-08-31,暑期档(6-8月),暑期档口径,官方总量,官方总量,实际,同比,92,增长率,2026-08-21,,国家电影局(中国电影报),2025年暑期档电影市场数据,2025-09-04,A,https://www.chinafilm.gov.cn/xwzx/gzdt/202509/t20250904_928990.html,观影人次3.21亿，同比+12.75%；题材多元推动人次增速快于票房
新消费,暑期演出票房收入,151.35,亿元,水平值,2025-07-01~2025-08-31,7-8月,中国演出行业协会监测口径,行业协会计,行业协会计,实际,同比,62,增长率,2026-08-21,,中国演出行业协会(光明网),2025年暑期演出市场数据,2025-09-17,C,https://news.gmw.cn/2025-09/17/content_38290329.htm,暑期演出票房151.35亿元，同比+3.90%；演唱会经济带动食住行游购
新消费,暑期演出观众人数,4223.32,万人次,水平值,2025-07-01~2025-08-31,7-8月,中国演出行业协会监测口径,行业协会计,行业协会计,实际,同比,62,增长率,2026-08-21,,中国演出行业协会(光明网),2025年暑期演出市场数据,2025-09-17,C,https://news.gmw.cn/2025-09/17/content_38290329.htm,暑期演出观众4223.32万人次，同比+5.17%
旅游行业平台,同程高品质酒店预订热度同比,40,%,增长率,2025-07-01~2025-08-31,7-8月合计,同程自披露口径,平台GMV,平台自披露,实际,同比,62,增长率,2026-08-21,,同程旅行(网经社监测转载),同程2025暑期旅游消费新趋势盘点,2025-08,C,http://www.100ec.cn/zt/25sjlybg/bgxz%20.pdf,该平台自身口径，非全市场
旅游行业平台,携程亲子家庭租车自驾订单同比,98,%,增长率,2025-07-01~2025-08-20,7月中旬~8月20日,携程自披露口径,平台GMV,平台自披露,实际,同比,62,增长率,2026-08-21,多口径并存,携程(网经社监测转载),携程2025暑期出游市场监测,2025-08-20,C,http://www.100ec.cn/zt/25sjlybg/bgxz%20.pdf,该平台自身口径，非全市场；另有+77%口径(人民财经网转引)
旅游行业平台,携程亲子游占暑期总出行,35,%,水平值,2025-07-01~2025-08-20,7月中旬~8月20日,携程自披露口径,平台GMV,平台自披露,实际,无(水平值),62,水平值,2026-08-21,,携程(网经社监测转载),携程2025暑期出游市场监测,2025-08-20,C,http://www.100ec.cn/zt/25sjlybg/bgxz%20.pdf,该平台自身口径，非全市场
旅游行业平台,美团300公里以上中长线游需求同比,15,%,增长率,2025-07-01~2025-08-31,7-8月合计,美团自披露口径,平台GMV,平台自披露,实际,同比,62,增长率,2026-08-21,,美团(网经社监测转载),美团2025暑期出游数据,2025-08,C,http://www.100ec.cn/zt/25sjlybg/bgxz%20.pdf,暑期300公里以上中长线游需求同比+15%；‘周边游’‘一日游’搜索环比+40%；该平台自身口径
旅游行业平台,途牛亲子带娃出游人次占比,42,%,水平值,2025-07-01~2025-08-31,7-8月合计,途牛自披露口径,平台GMV,平台自披露,实际,无(水平值),62,水平值,2026-08-21,,途牛(腾讯新闻综述),途牛2025暑期出游数据,2025-07-09,C,https://view.inews.qq.com/k/20250709A04ROX00?web_channel=wap,该平台自身口径，非全市场
旅游行业平台,飞猪北京定制游订单同比,200,%,增长率,2025-07-01~2025-08-31,7-8月合计,飞猪自披露口径,平台GMV,平台自披露,实际,同比,62,增长率,2026-08-21,,飞猪(中国网转引),飞猪2025暑期出游数据,2025-09-03,C,http://travel.china.com.cn/txt/2025-09/03/content_118058806.shtml,北京定制游订单同比+2倍，机票/实时用车双位数增长；该平台自身口径，非全市场
旅行社,全国旅行社订单总量,本期暂无公开数据,定性,定性,2025-07-01~2025-08-31,7-8月合计,缺口声明,平台GMV,弱溯源,实际,无(水平值),62,定性,2026-08-21,全国总量缺项,缺口声明(见正文),—,—,D,无公开URL(缺口),无全国权威旅行社订单总量口径；仅平台/单一旅行社结构数据可用(见上表与L2素材)
旅行社,暑期出游人次(春秋旅游),全面超去年同期,定性,定性,2025-07-01~2025-08-31,7-8月合计,单一旅行社披露口径,平台GMV,待核,实际,同比,62,定性,2026-08-21,,春秋旅游(中新网转引),春秋旅游2025暑期出游数据,2025-09-01,B,http://www.chinanews.com.cn/sh/2025/09-01/10474727.shtml,春秋旅游宣布2025暑期出游人次全面超去年同期，10岁及以下儿童、60岁及以上银发人群同比明显增长；单一旅行社披露，非全行业口径
景区数据,云南省旅居人数,380.1,万人,水平值,2025-01-01~2025-08-31,1-8月累计,云南省文旅厅口径,客流人次,官方总量,实际,累计年初至今,243,水平值,2026-08-21,,云南省文化和旅游厅(文旅部转载),云南暑期文旅市场主要指标创新高,2025-09-19,A,https://www.mct.gov.cn/whzx/qgwhxxlb/yn/202509/t20250919_962295.htm,全省旅居人数达380.1万人，已接近2024全年389万人的规模；康养旅居业态暑期增长明显
