年份,节日,主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
2023,春节,交通出行,7天全国铁路公路水路民航发送旅客,2.26,亿人次,人次,2023-01-21 至 2023-01-27,7天,7天口径,客流人次,官方营业性(不含自驾),实际,无(水平值),7,水平值,2023-02-16,空,国务院联防联控机制春运工作专班（新华社）,春节假期发送旅客,2023-01-28,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/xinwen/2023-01/28/content_5738970.htm,铁路5017.4万/公路1.62亿/水路486.8万/民航900.6万
2023,春节,交通出行,7天公路发送旅客(拆分),1.62,亿人次,人次,2023-01-21 至 2023-01-27,7天,7天口径,公路人员流动量,官方营业性(不含自驾),实际,无(水平值),7,水平值,2023-02-16,空,国务院联防联控机制春运工作专班（新华社）,春节假期发送旅客,2023-01-28,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/xinwen/2023-01/28/content_5738970.htm,自综合客运量拆分
2023,春节,交通出行,7天民航发送旅客(拆分),900.6,万人次,人次,2023-01-21 至 2023-01-27,7天,7天口径,民航客运量,官方营业性(不含自驾),实际,无(水平值),7,水平值,2023-02-16,空,国务院联防联控机制春运工作专班（新华社）,春节假期发送旅客,2023-01-28,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/xinwen/2023-01/28/content_5738970.htm,自综合客运量拆分；与民航局口径900万基本一致
2023,春节,交通出行,7天水路发送旅客(拆分),486.8,万人次,人次,2023-01-21 至 2023-01-27,7天,7天口径,水路客运量,官方营业性(不含自驾),实际,无(水平值),7,水平值,2023-02-16,空,国务院联防联控机制春运工作专班（新华社）,春节假期发送旅客,2023-01-28,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/xinwen/2023-01/28/content_5738970.htm,自综合客运量拆分
2023,春节,交通出行,7天铁路发送旅客(拆分),5017.4,万人次,人次,2023-01-21 至 2023-01-27,7天,7天口径,铁路客运量,官方营业性(不含自驾),实际,无(水平值),7,水平值,2023-02-16,空,国务院联防联控机制春运工作专班（新华社）,春节假期发送旅客,2023-01-28,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/xinwen/2023-01/28/content_5738970.htm,自综合客运量拆分；日均716.8万
2023,春节,交通出行,7天高速公路小客车流量,3.06,亿辆次,辆次,2023-01-21 至 2023-01-27,7天,7天口径,公路人员流动量,官方营业性(不含自驾),实际,无(水平值),7,水平值,2023-02-16,空,国务院联防联控机制春运工作专班,春节假期发送旅客,2023-01-28,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/xinwen/2023-01/28/content_5738970.htm,全国高速总流量3.15亿辆次
2023,春节,交通出行,春运民航（40天）运送旅客,5523,万人次,人次,2023-01-07 至 2023-02-15,7天,40天口径,民航客运量,官方营业性(不含自驾),实际,同比,7,40天(春运),2023-02-16,空,民航局（光明网转引）,2023年春运民航运输旅客,2023-02-16,B,https://economy.gmw.cn/2023-02/16/content_36371198.htm,同比+39%；平均客座率74%
2023,春节,交通出行,春运高速公路小客车流量（40天）,11.84,亿辆次,辆次,2023-01-07 至 2023-02-15,7天,40天口径,公路人员流动量,官方营业性(不含自驾),实际,同比,7,40天(春运),2023-02-16,空,交通运输部（人民网转引）,2023年春运再现流动里的中国,2023-02-16,B,https://finance.people.com.cn/n1/2023/0216/c1004-32625138.html,同比+18.6%；载客31.38亿人次
2023,春节,交通出行,民航7天保障航班,83844,班,班次,2023-01-21 至 2023-01-27,7天,7天口径,民航客运量,官方营业性(不含自驾),实际,无(水平值),7,水平值,2023-02-16,空,民航局,春节假期民航,2023-01-29,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/xinwen/2023-01/29/content_5739038.htm,日均11977班；+33.6%
2023,春节,交通出行,民航7天运送旅客,900,万人次,人次,2023-01-21 至 2023-01-27,7天,7天口径,民航客运量,官方营业性(不含自驾),实际,同比,7,增长率,2023-02-16,空,民航局（中国政府网转引）,春节假期民航运送旅客,2023-01-29,A,https://big5.www.gov.cn/gate/big5/www.gov.cn/xinwen/2023-01/29/content_5739038.htm,同比+79.8%；平均客座率76%
2023,春节,交通出行,铁路客运量(预测),0.9,亿人次,人次,2023-04-29 至 2023-05-03,5天,5天口径,铁路客运量,官方总量,预计,较节假日X(2023五一),5,水平值,2026-08-21,预判待回填,AI前瞻(待官方回填),内部测算·预测台账,2026-08-21,D,https://www.gov.cn/,预测ID=2023五一-F03；中心值0.9亿人次/区间0.85-1.0亿/置信度中；探亲+旅游双高峰，日均强度高于春节
2023,春节,交通出行,铁路春运（40天）发送旅客,3.48,亿人次,人次,2023-01-07 至 2023-02-15,7天,40天口径,铁路客运量,官方营业性(不含自驾),实际,同比,7,40天(春运),2023-02-16,空,国铁集团,2023年铁路春运圆满收官,2023-02-15,A,http://www.china-railway.com.cn/xwzx/ywsl/202302/t20230220_126229.html,同比+37.4%；日均870万；恢复2019的85.5%
2023,春节,平台渠道,同程国内机票预订量（较2019）,129,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,平台GMV,平台自披露,实际,较2019,7,水平值,2023-02-16,空,同程旅行,2023春节假期旅行消费数据报告,2023-01,C,https://www.ctg.cn/article/16513,汽车票+230%；火车票+18%
2023,春节,平台渠道,同程汽车票预订量(较2019),230,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,平台GMV,平台自披露,实际,较2019,7,增长率,2023-02-16,空,同程旅行,2023春节假期旅行消费数据报告,2023-01,C,https://www.ctg.cn/article/16513,平台自披露，非全市场；复合增速拆分
2023,春节,平台渠道,同程火车票预订量(较2019),18,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,平台GMV,平台自披露,实际,较2019,7,增长率,2023-02-16,空,同程旅行,2023春节假期旅行消费数据报告,2023-01,C,https://www.ctg.cn/article/16513,平台自披露，非全市场；复合增速拆分
2023,春节,平台渠道,携程出境游整体订单同比,640,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,平台GMV,平台自披露,实际,同比,7,增长率,2023-02-16,空,携程,2023年春节旅游总结报告,2023-01-27,C,https://www.ctg.cn/article/16513,跨境机票+4倍以上
2023,春节,平台渠道,携程旅游订单整体（较虎年）同比,4,倍,倍数,2023-01-21 至 2023-01-27,7天,7天口径,平台GMV,平台自披露,实际,同比,7,水平值,2023-02-16,空,携程,2023年春节旅游总结报告,2023-01-27,C,https://www.ctg.cn/article/16513,国内外皆三年巅峰
2023,春节,平台渠道,携程跟团游订单同比,4.2,倍,倍数,2023-01-21 至 2023-01-27,7天,7天口径,平台GMV,平台自披露,实际,同比,7,水平值,2023-02-16,空,携程,2023年春节旅游总结报告,2023-01-27,C,https://www.ctg.cn/article/16513,80%以上跨省远途
2023,春节,平台渠道,美团生活服务业日均消费规模（较2019）,66,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,平台GMV,平台自披露,实际,较2019,7,水平值,2023-02-16,空,美团（人民网/央广转引）,各大平台春节消费报告,2023-02-03,C,https://www.cnii.com.cn/rmydb/202302/t20230203_444045.html,前6天；异地消费+76%
2023,春节,平台渠道,飞猪境内长线游订单同比,500,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,平台GMV,平台自披露,实际,同比,7,水平值,2023-02-16,空,飞猪,春节出游快报,2023-01-26,C,https://www.ctg.cn/article/16513,机票+40%；火车票+80%
2023,春节,平台渠道,飞猪机票预订量同比,40,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,平台GMV,平台自披露,实际,同比,7,增长率,2023-02-16,空,飞猪,春节出游快报,2023-01-26,C,https://www.ctg.cn/article/16513,平台自披露，非全市场；复合增速拆分
2023,春节,平台渠道,飞猪火车票预订量同比,80,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,平台GMV,平台自披露,实际,同比,7,增长率,2023-02-16,空,飞猪,春节出游快报,2023-01-26,C,https://www.ctg.cn/article/16513,平台自披露，非全市场；复合增速拆分
2023,春节,总体,国内出游人次(预测),2.7,亿人次,人次,2023-04-29 至 2023-05-03,5天,5天口径,客流人次,官方总量,预计,较节假日X(2023五一),5,水平值,2026-08-21,预判待回填,AI前瞻(待官方回填),内部测算·预测台账,2026-08-21,D,https://www.gov.cn/,预测ID=2023五一-F01；中心值2.7亿人次/区间2.5-3.0亿/置信度中；疫后首轮完整复苏假期，返乡+出游叠加；口径效应：2023五一5天 vs 春节7天，绝对量不可直接比，须per-day折算
2023,春节,总体,国内旅游人均每日消费(测算),174.3,元,人均day,2023-01-21 至 2023-01-27,7天,7天口径,旅游总花费,测算,推算,无(水平值),7,水平值,2026-08-21,测算待核,AI推算(总花费÷人次÷天数),内部测算,2026-08-21,D,https://www.mct.gov.cn/whzx/whyw/202301/t20230127_938781.htm,总花费÷人次÷7天；推算值非官方直报，永久标D级
2023,春节,总体,国内旅游人均消费(测算),1220.3,元,人均trip,2023-01-21 至 2023-01-27,7天,7天口径,旅游总花费,测算,推算,无(水平值),7,水平值,2026-08-21,测算待核,AI推算(总花费÷出游人次),内部测算,2026-08-21,D,https://www.mct.gov.cn/whzx/whyw/202301/t20230127_938781.htm,总花费3758.43亿÷3.08亿人次；推算值非官方直报
2023,春节,总体,国内旅游出游人次,3.08,亿人次,人次,2023-01-21 至 2023-01-27,7天,7天口径,客流人次,官方总量,实际,同比,7,增长率,2023-02-16,空,文化和旅游部（新华社转引）,2023年春节假期文化和旅游市场情况,2023-01-27,A,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,同比+23.1%；恢复至2019同期88.6%
2023,春节,总体,国内旅游收入,3758.43,亿元,亿元,2023-01-21 至 2023-01-27,7天,7天口径,旅游总花费,官方总量,实际,同比,7,增长率,2023-02-16,空,文化和旅游部,2023年春节假期文化和旅游市场情况,2023-01-27,A,https://www.mct.gov.cn/whzx/whyw/202301/t20230127_938781.htm,同比+30%；恢复至2019同期73.1%
2023,春节,总体,国内旅游收入(预测),1400,亿元,亿元,2023-04-29 至 2023-05-03,5天,5天口径,旅游总花费,官方总量,预计,较节假日X(2023五一),5,水平值,2026-08-21,预判待回填,AI前瞻(待官方回填),内部测算·预测台账,2026-08-21,D,https://www.gov.cn/,预测ID=2023五一-F02；中心值1400亿元/区间1300-1550亿/置信度中；恢复斜率延续春节；人均消费稳中有升
2023,春节,新消费,京东预制菜成交额同比,600,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,平台GMV,平台自披露,实际,同比,7,水平值,2023-02-16,空,京东（新华网转引）,吃吃喝喝火爆兔年春节,2023-02-10,C,https://ex.chinadaily.com.cn/exchange/partners/82/rss/channel/cn/columns/ma7abu/stories/WS63e5ed06a3102ada8b22e7d0.html,交叉印证预制菜热
2023,春节,新消费,美团前6天多人堂食套餐订单同比,53,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,平台GMV,平台自披露,实际,同比,7,水平值,2023-02-16,空,美团（央视网转引）,新春消费旺,2023-01-28,C,https://news.cctv.com/2023/01/28/ARTIiRwRmntHZM4IUPue2tZh230128.shtml,上海堂食+200%
